subject	phase	exponent_grad	theta_band_power_grad	alpha_band_power_grad	alpha_peak_freq_grad	beta_band_power_grad	beta_peak_freq_grad
CC120049	p2	1.1544798014174198	0.4144503879474754	1.3014587837615796	9.96518584334052	0.4748641856146538	19.65176887485528
CC120065	p2	0.8440318089131087	0.1567761502496403	0.8371080510281927	10.848573640285162	0.4483098406877214	18.480691314848936
CC120218	p2	0.553730495899152	0.1376849850441828	0.6549291298056276	10.609464250847406	0.2875431247458263	22.502323307489394
CC120470	p2	1.5024194383026992	0.3876494569452834	0.5252409103073583	9.230969308534467	0.2231378988790937	17.55357305912196
CC120640	p2	0.9055737028100588	0.149004168115822	0.62283428034774	10.204911890966148	0.3454258202219451	20.882925434455817
CC120795	p2	1.0843638564134586	0.3876623542237314	1.05209785309133	9.762915524358252	0.4654369296341291	23.153212753000812
CC121428	p2	0.9335404033059757	0.1581136404988979	0.7703481285592793	11.02656594825634	0.4252116992362537	19.61984585064314
CC210023	p2	0.7286183184741932	0.1571098588501253	0.3437192788740871	11.1507836749548	0.4442557739641961	23.536593305042427
CC210088	p2	1.2250966166763042	0.2743683906609219	0.6170771328252269	9.843649116500105	0.4118687578462177	18.608863913417373
CC220107	p2	0.828036457236599	0.5821760964925997	0.9252120755878962	9.164810016671968	0.281484902921225	17.27651703043531
CC220335	p2	1.0910336146595618	0.3191554685715665	0.8627454860568868	9.921231302929309	0.434661102643266	16.917042164135825
CC220419	p2	1.0539374513928867	0.2691990334375668	0.7699781228880836	10.130196213813054	0.4329019147761399	19.870441094458894
CC220518	p2	0.7670216944739007	0.2150394934368191	0.9143198119092888	11.305821175177092	0.5722022544213898	17.066611955738598
CC220519	p2	0.8483260698088351	0.2461701414474637	1.1683252892371088	10.380055259068373	0.4509075473339662	20.361176621785606
CC220828	p2	0.884902952169975	0.1709885718271456	0.4211383056645548	10.94276258209822	0.5546646168352246	17.44585206362597
CC220974	p2	0.6967334497540782	0.1724780464170472	0.9702477911220247	10.7632888452103	0.5671773567311083	19.66058611872579
CC221002	p2	0.8723429477184071	0.4128380334183203	1.5160682647852437	9.60177475284177	0.7121553334641971	19.140378485052963
CC221487	p2	0.7580776725271409	0.1624574254757086	0.1898007827741325	10.882956970423791	0.2375816076375314	21.430420396239764
CC221585	p2	0.98598044462879	0.2174587517594504	0.9164781167102418	10.141644032725305	0.4650053962201593	14.750272733338525
CC221977	p2	1.04618831756366	0.3137884570765561	0.664267075326298	10.517842736429172	0.4971478030023435	16.536018568889837
CC222258	p2	0.9430142269318073	0.3405012023982336	0.822817775335911	8.495801103137005	0.3876350405292756	18.617923421300784
CC222264	p2	0.8416316478681497	0.249679475127739	0.8248750416758996	10.683304777010534	0.3705612567404448	20.99939271664255
CC222496	p2	0.9854860313740708	0.2203938382862282	1.3083953258630414	9.61220399709002	0.3573771123641507	20.03267283408594
CC222652	p2	0.9466294173115728	0.1924309217265814	0.9896792507006584	10.900134486404474	0.4767367462206688	17.489758054779205
CC223286	p2	0.8473288914984137	0.3346959120136402	0.7928793296534818	9.936735179518228	0.5484226318190113	18.450770563270964
CC310051	p2	0.7315715077357703	0.4476309799599163	1.0876892075648534	9.03429811353278	0.7888485058107042	18.613095497484483
CC310086	p2	0.8574312986291847	0.1527024386287275	0.5133230645041847	10.375695682296987	0.5205994287494907	16.846070679913243
CC310203	p2	0.9208652025192712	0.1200368408602349	0.5757685943864909	10.222015377477211	0.2465770260343736	21.12962909820581
CC310407	p2	0.8808748834777115	0.1314720778850118	0.324035497262909	9.796517742927778	0.5464893014792702	22.60789157884139
CC310410	p2	0.9366008826598152	0.4021956549598762	0.7924004456614498	8.842547246585427	0.4710756762340868	18.659707910358662
