freqs,aperiodic_fixed,aperiodic_knee,total_fixed,units
2.0,3.518155546447121e-24,3.4991559194107945e-24,3.54855927101324e-24,(T/m)²/Hz
2.5,2.9959746097602843e-24,2.9647586551022015e-24,3.042559177204262e-24,(T/m)²/Hz
3.0,2.749725323423265e-24,2.7075238229354153e-24,2.8696947535158437e-24,(T/m)²/Hz
3.5,2.5844094953732862e-24,2.58553797645976e-24,2.736649704176357e-24,(T/m)²/Hz
4.0,2.437340483870393e-24,2.5129080218452643e-24,2.6640439396550216e-24,(T/m)²/Hz
4.5,2.306116535527937e-24,2.509329631523195e-24,2.666998100927466e-24,(T/m)²/Hz
5.0,2.159736985124796e-24,2.545157067091848e-24,2.7741305205059557e-24,(T/m)²/Hz
5.5,1.987873271929984e-24,2.5823632929501218e-24,2.961278621697534e-24,(T/m)²/Hz
6.0,1.810362597978739e-24,2.601696576399302e-24,3.208548995628214e-24,(T/m)²/Hz
6.5,1.6526551051989522e-24,2.5998284514341994e-24,3.630592774222289e-24,(T/m)²/Hz
7.0,1.5331682849901807e-24,2.6063529677277236e-24,4.5605250933435705e-24,(T/m)²/Hz
7.5,1.4228260493988484e-24,2.573887405552937e-24,6.040314611107051e-24,(T/m)²/Hz
8.0,1.3483153280685234e-24,2.5596009560304843e-24,8.200580818195424e-24,(T/m)²/Hz
8.5,1.2611121808161838e-24,2.485745871758252e-24,1.0762705525162466e-23,(T/m)²/Hz
9.0,1.2071644062192483e-24,2.4585101962864067e-24,1.362907162994891e-23,(T/m)²/Hz
9.5,1.159467908707072e-24,2.4343371786006104e-24,1.4214181876344342e-23,(T/m)²/Hz
10.0,1.101707291542436e-24,2.3821655479762632e-24,1.1806420294607474e-23,(T/m)²/Hz
10.5,1.0421455026951503e-24,2.32369539497094e-24,7.857874915643502e-24,(T/m)²/Hz
11.0,9.962189202126053e-25,2.2809600701589655e-24,5.2356063043393094e-24,(T/m)²/Hz
11.5,9.6453387850486e-25,2.2508475902781225e-24,3.9291418556552836e-24,(T/m)²/Hz
12.0,9.285635968983486e-25,2.1847413010115787e-24,3.2564543665802037e-24,(T/m)²/Hz
12.5,8.96226418649183e-25,2.1187786394073926e-24,2.9171389803040852e-24,(T/m)²/Hz
13.0,8.625259974734035e-25,2.0491290756980894e-24,2.6961045559455992e-24,(T/m)²/Hz
13.5,8.288032853319458e-25,1.973758780326948e-24,2.5271491567550415e-24,(T/m)²/Hz
14.0,7.993895901309845e-25,1.906695619350601e-24,2.4065348411633098e-24,(T/m)²/Hz
14.5,7.804131759656272e-25,1.8608940778516303e-24,2.332868940442976e-24,(T/m)²/Hz
15.0,7.583224690339968e-25,1.8065980291474284e-24,2.2599520738081112e-24,(T/m)²/Hz
15.5,7.324024902442133e-25,1.7501855141434466e-24,2.191718341368661e-24,(T/m)²/Hz
16.0,7.10710124700587e-25,1.6976274098896936e-24,2.1385000509086582e-24,(T/m)²/Hz
16.5,6.880858358830538e-25,1.6364146809009933e-24,2.0883408842760127e-24,(T/m)²/Hz
17.0,6.753492744102652e-25,1.5894101127004581e-24,2.078714259484794e-24,(T/m)²/Hz
17.5,6.601884464417718e-25,1.525484788659251e-24,2.0523825867261597e-24,(T/m)²/Hz
18.0,6.394042166065736e-25,1.4557467909113546e-24,1.9867996929099358e-24,(T/m)²/Hz
18.5,6.259523631310033e-25,1.3986083662846277e-24,1.9025138083877357e-24,(T/m)²/Hz
19.0,6.1390912119846405e-25,1.3383662181881119e-24,1.8119771861346163e-24,(T/m)²/Hz
19.5,6.03790064691412e-25,1.2822891195329185e-24,1.7315690908202713e-24,(T/m)²/Hz
20.0,5.913156533043795e-25,1.2228499539257147e-24,1.6402333428385695e-24,(T/m)²/Hz
20.5,5.725862413301116e-25,1.152189959320554e-24,1.5285478199271453e-24,(T/m)²/Hz
21.0,5.585583355075619e-25,1.0958913110818736e-24,1.4403396434705125e-24,(T/m)²/Hz
21.5,5.475137580803426e-25,1.0499262013448427e-24,1.3693758741548793e-24,(T/m)²/Hz
22.0,5.417524496226e-25,1.0144049304601626e-24,1.300345683653999e-24,(T/m)²/Hz
22.5,5.313677664080698e-25,9.725446147278846e-25,1.2427588328254247e-24,(T/m)²/Hz
23.0,5.210926365912589e-25,9.298062753464701e-25,1.1917929807743687e-24,(T/m)²/Hz
23.5,5.120525656422222e-25,8.884963378196482e-25,1.1465534345628445e-24,(T/m)²/Hz
24.0,5.026100166127769e-25,8.475707566752366e-25,1.1003578591723961e-24,(T/m)²/Hz
24.5,4.884860202668875e-25,7.99031051955325e-25,1.0351341998689086e-24,(T/m)²/Hz
25.0,4.816845986352423e-25,7.608494149662348e-25,9.79942500599041e-25,(T/m)²/Hz
25.5,4.776535229155691e-25,7.253950613264888e-25,9.2637560061464e-25,(T/m)²/Hz
26.0,4.7499973545034675e-25,6.916200608848075e-25,8.699492307211253e-25,(T/m)²/Hz
26.5,4.657035621111389e-25,6.512997421550736e-25,8.008105559032051e-25,(T/m)²/Hz
27.0,4.628142267571607e-25,6.2043646638659e-25,7.420938438237403e-25,(T/m)²/Hz
27.5,4.5844499627533e-25,5.878945943984619e-25,6.816785228413241e-25,(T/m)²/Hz
28.0,4.5214994569461415e-25,5.555691014705572e-25,6.244650811587865e-25,(T/m)²/Hz
28.5,4.446274220417874e-25,5.237052730025889e-25,5.718868382422947e-25,(T/m)²/Hz
29.0,4.302525621185107e-25,4.874213731030789e-25,5.192038334573722e-25,(T/m)²/Hz
29.5,4.147515039319715e-25,4.538659559213078e-25,4.740295422522063e-25,(T/m)²/Hz
30.0,3.950831363492538e-25,4.203231390963164e-25,4.324745702174667e-25,(T/m)²/Hz
30.5,3.746983817004904e-25,3.9000148204002977e-25,3.9708365477705827e-25,(T/m)²/Hz
31.0,3.544919289709034e-25,3.6336994206584375e-25,3.6750942469813583e-25,(T/m)²/Hz
31.5,3.3598270060268877e-25,3.407846497019646e-25,3.433970366980238e-25,(T/m)²/Hz
32.0,3.183478144383653e-25,3.206921412909398e-25,3.2247951977995534e-25,(T/m)²/Hz
32.5,3.0359057194883447e-25,3.044942732366553e-25,3.0584728305345277e-25,(T/m)²/Hz
33.0,2.946646712081725e-25,2.9468057878092734e-25,2.9591363712750665e-25,(T/m)²/Hz
33.5,2.8923617585607813e-25,2.8862670533676794e-25,2.8995782616344265e-25,(T/m)²/Hz
34.0,2.8792430594780607e-25,2.86782766144589e-25,2.8838157414285713e-25,(T/m)²/Hz
34.5,2.8964740378662476e-25,2.879527132346292e-25,2.900009295269458e-25,(T/m)²/Hz
35.0,2.9520340779086835e-25,2.928200446686254e-25,2.9559126271352974e-25,(T/m)²/Hz
35.5,3.041657454281309e-25,3.0100473159335413e-25,3.0472654407038755e-25,(T/m)²/Hz
36.0,3.159535976233903e-25,3.1194033950524715e-25,3.1687041196125946e-25,(T/m)²/Hz
36.5,3.290256881471653e-25,3.245081727344606e-25,3.305834630214812e-25,(T/m)²/Hz
37.0,3.4121530693419544e-25,3.3684050217113734e-25,3.438430392221216e-25,(T/m)²/Hz
37.5,3.521936306525211e-25,3.4833012086112824e-25,3.564129979956397e-25,(T/m)²/Hz
38.0,3.6317720975081617e-25,3.601953116015719e-25,3.6953152323398415e-25,(T/m)²/Hz
38.5,3.6842669848651905e-25,3.6683265171410234e-25,3.7691976306005515e-25,(T/m)²/Hz
39.0,3.73252322413488e-25,3.7267050582151743e-25,3.827708891762759e-25,(T/m)²/Hz
39.5,3.759606804231112e-25,3.750758128459398e-25,3.845050065258445e-25,(T/m)²/Hz
40.0,3.7321392420721204e-25,3.71620872116451e-25,3.7993140293664856e-25,(T/m)²/Hz
