	Estimate	2.5_ci	97.5_ci	SE	DF	T-stat	P-val	Sig
(Intercept)	0.8092432777906692	0.7223618242405752	0.8961247313407632	0.04432808675843221	131.54299835686774	18.255768226602576	7.173476986287187e-38	***
A0	0.0029590515859214475	-0.0029769888841479917	0.008895092055990886	0.0030286477286787772	131.87029354556122	0.9770207204692999	0.33034782563905063	
dA	-0.000961563435511653	-0.014697483107333193	0.012774356236309887	0.007008251059799428	135.47076724960866	-0.13720447902149963	0.8910728770906795	
A0:dA	-0.00014596515347350958	-0.0011138123156250379	0.0008218820086780186	0.0004938086463760474	137.4776126927086	-0.2955905177941205	0.7679887992843901	
