freqs,aperiodic_fixed,aperiodic_knee,total_fixed,units
29.0,8.375069387523204e-11,1.7439649526840172e-10,1.8419726203717707e-10,V²/Hz
29.5,8.350919117461707e-11,1.5884086434661207e-10,1.6786416764163856e-10,V²/Hz
30.0,8.371657822843645e-11,1.4458652228423537e-10,1.5276806716145013e-10,V²/Hz
30.5,8.298968499909406e-11,1.3131162491487762e-10,1.382319295329817e-10,V²/Hz
31.0,8.223984493596288e-11,1.193332375216113e-10,1.252994476583381e-10,V²/Hz
31.5,8.103824269536122e-11,1.0876153332631261e-10,1.135613949595437e-10,V²/Hz
32.0,7.984517838865297e-11,1.0011571891807335e-10,1.0404872967489926e-10,V²/Hz
32.5,7.698555665221558e-11,9.069859142447392e-11,9.395012142983384e-11,V²/Hz
33.0,7.400310775776221e-11,8.27938163534728e-11,8.56391654869953e-11,V²/Hz
33.5,7.070101665451205e-11,7.580816864638666e-11,7.83414618872845e-11,V²/Hz
34.0,6.660607041819615e-11,6.900048801244128e-11,7.140839644068383e-11,V²/Hz
34.5,6.258927481769665e-11,6.326384878764723e-11,6.550485293445992e-11,V²/Hz
35.0,5.885135153598413e-11,5.853173107007059e-11,6.057724464005124e-11,V²/Hz
35.5,5.4923924859614694e-11,5.414942765485457e-11,5.5925124622503304e-11,V²/Hz
36.0,5.1257681334749174e-11,5.026655195136963e-11,5.183591292557941e-11,V²/Hz
36.5,4.7950797599686073e-11,4.6930216408238986e-11,4.828862389064106e-11,V²/Hz
37.0,4.4466894568064023e-11,4.358114279255523e-11,4.466714083838628e-11,V²/Hz
37.5,4.129461113058689e-11,4.0574876327997255e-11,4.1417611294490206e-11,V²/Hz
38.0,3.836444072659356e-11,3.7814284885488646e-11,3.844058822338435e-11,V²/Hz
38.5,3.550072978958435e-11,3.503639324016522e-11,3.5543588589696914e-11,V²/Hz
39.0,3.339220990623185e-11,3.297055341657792e-11,3.3416199770814467e-11,V²/Hz
39.5,3.119489106894141e-11,3.0826629859287025e-11,3.12080807976729e-11,V²/Hz
40.0,2.941781336461027e-11,2.911143494692552e-11,2.94247854929961e-11,V²/Hz
