freqs,aperiodic_fixed,aperiodic_knee,total_fixed,units
2.0,2.698459047371355e-09,2.3009226499100825e-09,2.8591442550829494e-09,V²/Hz
2.5,2.852757701542427e-09,2.0329761499201644e-09,3.0615823596024726e-09,V²/Hz
3.0,3.4070856908373257e-09,2.26035874872868e-09,4.072759988254126e-09,V²/Hz
3.5,2.6213445677172816e-09,1.7866256893021614e-09,4.104299369365032e-09,V²/Hz
4.0,1.9628676592645125e-09,1.6663951936952326e-09,3.829379884429343e-09,V²/Hz
4.5,1.4035632106676387e-09,1.3891946359017835e-09,2.679376160140184e-09,V²/Hz
5.0,9.962032348438758e-10,1.1207128251628105e-09,1.7631804167157525e-09,V²/Hz
5.5,8.804586810319495e-10,1.0830165389454408e-09,1.5300470041656203e-09,V²/Hz
6.0,9.649194290479333e-10,1.311386562940947e-09,2.122250912169201e-09,V²/Hz
6.5,8.459479439646725e-10,1.3142540198941922e-09,2.606762970517297e-09,V²/Hz
7.0,7.581794660418247e-10,1.3354286111415475e-09,2.821921488425951e-09,V²/Hz
7.5,6.345674711936529e-10,1.248575942986726e-09,2.3201991296055043e-09,V²/Hz
8.0,5.864307092392791e-10,1.254789591779007e-09,2.0049022376814322e-09,V²/Hz
8.5,5.229419751336496e-10,1.2078698967726736e-09,1.6588074098959277e-09,V²/Hz
9.0,4.819386069317961e-10,1.231925834984884e-09,1.5674213665824142e-09,V²/Hz
9.5,4.5386773082270094e-10,1.275387095037731e-09,1.5999104345284255e-09,V²/Hz
10.0,4.335011166198684e-10,1.333254172349475e-09,1.6571227344789613e-09,V²/Hz
10.5,3.889974054978154e-10,1.3096532524222945e-09,1.611830448198195e-09,V²/Hz
11.0,3.6083267161510555e-10,1.2926921411870086e-09,1.566702668713411e-09,V²/Hz
11.5,3.302697570655815e-10,1.2609975321105946e-09,1.5131694776773877e-09,V²/Hz
12.0,3.020589056112366e-10,1.2366627249185465e-09,1.4812603581294604e-09,V²/Hz
12.5,2.8814113772165866e-10,1.2484239238169031e-09,1.4857798072804748e-09,V²/Hz
13.0,2.715058514191896e-10,1.248044028793701e-09,1.4841327157032623e-09,V²/Hz
13.5,2.5048681996520225e-10,1.2077479577883274e-09,1.418307405784408e-09,V²/Hz
14.0,2.4119258025588634e-10,1.1973815819262297e-09,1.3954391320909152e-09,V²/Hz
14.5,2.255929188719739e-10,1.1424607060989309e-09,1.3258624402567113e-09,V²/Hz
15.0,2.1602686032407786e-10,1.1066345190488641e-09,1.2769184608972123e-09,V²/Hz
15.5,2.095860164879865e-10,1.0884244982075216e-09,1.2437384079792733e-09,V²/Hz
16.0,2.0041936949893382e-10,1.0413909176109113e-09,1.1835240530978217e-09,V²/Hz
16.5,1.9540096653171808e-10,1.0247124837779288e-09,1.1497607162820685e-09,V²/Hz
17.0,1.8506813691983593e-10,9.784158563233497e-10,1.090716027134285e-09,V²/Hz
17.5,1.7701731916275806e-10,9.488948026591926e-10,1.0471802100396863e-09,V²/Hz
18.0,1.6702341088882154e-10,9.069574194012231e-10,9.929543799342071e-10,V²/Hz
18.5,1.59227662523062e-10,8.722704172003601e-10,9.484209357380544e-10,V²/Hz
19.0,1.5273111353903973e-10,8.399266395779752e-10,9.056188400458054e-10,V²/Hz
19.5,1.453067050077712e-10,7.948691928157712e-10,8.511293038736739e-10,V²/Hz
20.0,1.4104171680882635e-10,7.561940769931278e-10,8.029725614294827e-10,V²/Hz
20.5,1.3587505765778003e-10,7.152565823189309e-10,7.555675034703387e-10,V²/Hz
21.0,1.3234354142049104e-10,6.696250265251468e-10,7.032914811979753e-10,V²/Hz
21.5,1.2802156137685605e-10,6.26494375094576e-10,6.546853186751495e-10,V²/Hz
22.0,1.2409424593561248e-10,5.75643975084673e-10,5.995350792306768e-10,V²/Hz
22.5,1.211725607509727e-10,5.347494418646706e-10,5.55691358647334e-10,V²/Hz
23.0,1.1840760843723875e-10,4.973248499063682e-10,5.162644655612411e-10,V²/Hz
23.5,1.1557991291606314e-10,4.630912768412743e-10,4.806996738130432e-10,V²/Hz
24.0,1.128005355311973e-10,4.3300815194335e-10,4.496177299020845e-10,V²/Hz
24.5,1.0908556917352294e-10,3.9889046133212106e-10,4.149454374214397e-10,V²/Hz
25.0,1.0476545896353933e-10,3.663572738596741e-10,3.8143149979422865e-10,V²/Hz
25.5,1.0039012803213713e-10,3.3649627958911954e-10,3.5072297505718095e-10,V²/Hz
26.0,9.677997508705339e-11,3.0881474362951365e-10,3.2243017581670633e-10,V²/Hz
26.5,9.235659176613668e-11,2.8103924805871956e-10,2.938592530666195e-10,V²/Hz
27.0,8.961834343314958e-11,2.5654107865073946e-10,2.685626777464934e-10,V²/Hz
27.5,8.667388246448807e-11,2.3298216589991485e-10,2.445161749051747e-10,V²/Hz
28.0,8.538468776116039e-11,2.1223556863354837e-10,2.2314491227646797e-10,V²/Hz
28.5,8.446277372949835e-11,1.937366045553252e-10,2.042398205615065e-10,V²/Hz
