Channel	Mean_Value	Positions	Kneemode	Parameter
MEG2241	3.409656036725278	[ 0.00810202 -0.01791028]	knee	exponent
MEG2311	3.3769314786781015	[ 0.02646362 -0.04124486]	knee	exponent
MEG2321	3.0839437941132215	[ 0.03804624 -0.05075069]	knee	exponent
MEG2331	2.020836588366345	[ 0.0236439  -0.07436699]	knee	exponent
MEG2341	2.9060149673753766	[ 0.02020808 -0.06063383]	knee	exponent
MEG2411	3.68946868748181	[ 0.04888106 -0.01037042]	knee	exponent
MEG2421	3.148727592062331	[ 0.06152987 -0.01565458]	knee	exponent
MEG2431	3.2299685221894405	[ 0.05233503 -0.0355032 ]	knee	exponent
MEG2441	3.5448011777355695	[ 0.04010449 -0.02837695]	knee	exponent
MEG2511	2.250710238152214	[ 0.04454057 -0.06303487]	knee	exponent
MEG2521	2.1875181051572596	[ 0.06193723 -0.04513292]	knee	exponent
MEG2531	1.4484566378467454	[ 0.06140794 -0.06407473]	knee	exponent
MEG2541	1.4028841053332444	[ 0.03945209 -0.08076729]	knee	exponent
MEG2611	2.0453854637851028	[0.07775537 0.0039728 ]	knee	exponent
MEG2621	1.3345260513413582	[ 0.08759228 -0.01181315]	knee	exponent
MEG2631	1.3810708665227767	[ 0.07815474 -0.04057159]	knee	exponent
MEG2641	2.1588148292548333	[ 0.07331851 -0.02188554]	knee	exponent
