Age_group	Phase	Mean	SEM	Color	Alpha	min_age	max_age	n_subjects
Young	p2	19.529313118433123	0.16789962356802995	dimgray	0.4	24.3	47.6	45
Young	p5	19.108230473977112	0.16789962356802995	dimgray	1.0	35.6	58.7	45
Middle	p2	19.005675596934783	0.18187539793369423	dodgerblue	0.4	47.8	63.1	44
Middle	p5	18.196788634200477	0.18187539793369423	dodgerblue	1.0	58.9	74.5	44
Old	p2	18.750981559177827	0.17594941001805411	darkorange	0.4	63.2	84.1	44
Old	p5	18.08349606944623	0.17594941001805411	darkorange	1.0	70.9	95.5	44
