Age_group	Phase	Mean	SEM	Color	Alpha	min_age	max_age	n_subjects
Young	p2	0.9081613582419337	0.017881427235322975	dimgray	0.4	24.3	47.6	45
Young	p5	0.867916979303194	0.017881427235322975	dimgray	1.0	35.6	58.7	45
Middle	p2	0.8649609691233651	0.014639636014824835	dodgerblue	0.4	47.8	63.1	44
Middle	p5	0.8389301221491144	0.014639636014824835	dodgerblue	1.0	58.9	74.5	44
Old	p2	0.8508643266831803	0.022620353880387273	darkorange	0.4	63.2	84.1	44
Old	p5	0.8670933455609767	0.022620353880387273	darkorange	1.0	70.9	95.5	44
