Subject	Phase	Freq_2.0Hz	Freq_2.5Hz	Freq_3.0Hz	Freq_3.5Hz	Freq_4.0Hz	Freq_4.5Hz	Freq_5.0Hz	Freq_5.5Hz	Freq_6.0Hz	Freq_6.5Hz	Freq_7.0Hz	Freq_7.5Hz	Freq_8.0Hz	Freq_8.5Hz	Freq_9.0Hz	Freq_9.5Hz	Freq_10.0Hz	Freq_10.5Hz	Freq_11.0Hz	Freq_11.5Hz	Freq_12.0Hz	Freq_12.5Hz	Freq_13.0Hz	Freq_13.5Hz	Freq_14.0Hz	Freq_14.5Hz	Freq_15.0Hz	Freq_15.5Hz	Freq_16.0Hz	Freq_16.5Hz	Freq_17.0Hz	Freq_17.5Hz	Freq_18.0Hz	Freq_18.5Hz	Freq_19.0Hz	Freq_19.5Hz	Freq_20.0Hz	Freq_20.5Hz	Freq_21.0Hz	Freq_21.5Hz	Freq_22.0Hz	Freq_22.5Hz	Freq_23.0Hz	Freq_23.5Hz	Freq_24.0Hz	Freq_24.5Hz	Freq_25.0Hz	Freq_25.5Hz	Freq_26.0Hz	Freq_26.5Hz	Freq_27.0Hz	Freq_27.5Hz	Freq_28.0Hz	Freq_28.5Hz	Freq_29.0Hz	Freq_29.5Hz	Freq_30.0Hz	Freq_30.5Hz	Freq_31.0Hz	Freq_31.5Hz	Freq_32.0Hz	Freq_32.5Hz	Freq_33.0Hz	Freq_33.5Hz	Freq_34.0Hz	Freq_34.5Hz	Freq_35.0Hz	Freq_35.5Hz	Freq_36.0Hz	Freq_36.5Hz	Freq_37.0Hz	Freq_37.5Hz	Freq_38.0Hz	Freq_38.5Hz	Freq_39.0Hz	Freq_39.5Hz	Freq_40.0Hz
CC120049	p2	0.0002877119121751544	0.0006819604548228844	0.0017083687244365995	0.00477234249490464	0.01453815821561454	0.044784119880085814	0.12909990574929395	0.3171507541832834	0.6301224137889848	1.005509560750792	1.3121046363668945	1.4988800453581461	1.708525888375748	2.150260624026033	2.861861765842079	3.491765055427266	3.6608037326875613	3.286555467107293	2.603677556483818	2.0263487318126874	1.5667137613526179	1.2253163391073052	1.0537341589525189	0.9616045024749068	0.8916766179612484	0.8466646838899026	0.8349274204967714	0.8543480510890152	0.8868744234900565	0.9154050064703352	0.943392862984102	0.9942116836369781	1.0946162797216468	1.26206571911223	1.4796877193925935	1.6314132443479905	1.608911168535247	1.4265410161239833	1.2053292256122339	1.047780454443153	0.9184811948915302	0.8219687249739522	0.7444328700901434	0.6808803123560233	0.6258960532069358	0.5633975937811193	0.512700613554935	0.47160354498318197	0.4357319094508377	0.4023813814564723	0.3710058902346274	0.34695415644605365	0.3367267432121411	0.3453402783256409	0.3629279116096515	0.3453269769296788	0.2641966841332924	0.15494273381323329	0.07431735448244375	0.03407319391751055	0.016641566921229152	0.008592076066282057	0.0045040349865450155	0.002355322851088364	0.0012258088799898166	0.0006332911572360882	0.00032118799980956843	0.0001606631410098429	8.905985948325974e-05	7.761711080088446e-05	0.00011641566785573444	0.00019276289518475057	0.00027644807940516126	0.0003303530617580544	0.00031796999509848173	0.000251286290667744	0.00017779275150613458
CC120049	p5	0.000381927447669634	0.00090137291892086	0.0023089697142898834	0.006809436161337469	0.02113484721731459	0.06186992290706207	0.16109769504344407	0.3616202777212225	0.6791382658002784	1.0611120261950016	1.3841542926543378	1.5448437139857227	1.6697033826975756	2.017102403814733	2.8219137096566755	3.8536272336574875	4.20126084333193	3.536904202521691	2.664540311177871	2.0531414911821413	1.6510267338234565	1.4828648577229078	1.3702310399435578	1.2476828211155515	1.1461086777965146	1.0864815814177444	1.0797975968760583	1.1139197760254125	1.1602302285374229	1.1986195675937914	1.2449663907334396	1.3065381102998894	1.3950633514190733	1.5212930027537774	1.6876831128891585	1.811066120180623	1.8073566257707656	1.6803437481359582	1.5212484707598328	1.3799289849574696	1.208225969966404	1.0575060210116358	0.9229237632477633	0.8036648931422551	0.7023545952650551	0.612049176919117	0.5436059039983878	0.4970325575487509	0.46288128472304396	0.4287482719566205	0.4060318276330519	0.3919078981804968	0.3837688778294176	0.38216660729673163	0.38095801954012903	0.3533012278723255	0.27979679650374517	0.16742145232481717	0.08386320178608807	0.04211430897775834	0.02070479611707461	0.010275538693574636	0.005226570982173704	0.0026014412898699097	0.0012893255917389907	0.0006200030983797972	0.00030252892903385087	0.00016110021011465507	0.00011192226507403773	0.00011293859002122455	0.0001944202049108731	0.00031350795436221407	0.00037101922699414233	0.0004781137670153945	0.0006588595905325568	0.000646604842102693	0.0006424617214781141
CC120065	p2	0.00016931054029676188	0.0004609035952132952	0.0013609401115533438	0.003940495617343844	0.011079867362550387	0.029682991478198025	0.07120368367711437	0.13256878921162735	0.18038086123701547	0.22251161684931675	0.2815664375968375	0.3669635815974853	0.49099612069828247	0.6877276918931495	0.9868922017378562	1.4864025073678897	2.209283022736372	2.6850836349801903	2.6941392038157828	2.638501846943507	2.6295198130851256	2.4407572585620305	2.049180913891859	1.6332805780291242	1.2616936806845247	0.978738217471122	0.7843331934053464	0.6986573061239615	0.6518038955273768	0.638426181952497	0.6181317053551842	0.6020345344658644	0.6042890005993469	0.6115452238116451	0.6345262969988252	0.6805372310573642	0.742303077448959	0.8091633459701623	0.8588003123052781	0.8783448987671041	0.8420259157079282	0.8062557652767863	0.7651716975536685	0.7220525650724892	0.6801534434011677	0.6210007102272018	0.5602326659108822	0.48305548721101266	0.39487718772766867	0.3160030257401108	0.25189565667317015	0.19733086283427123	0.146431580253258	0.10394043842257095	0.07204515834794248	0.05484082871334099	0.05615782680851495	0.04330018327777462	0.016969615207722815	0.006495766910055979	0.003243759284050843	0.0017656714958608063	0.0009510913249878116	0.0005180562922403736	0.0002908925578144026	0.00020818925904967156	0.00024989928633969814	0.0004612579798683258	0.0008964969697382009	0.0016258943567200302	0.0028337602864597247	0.004724196843582651	0.007126613589956006	0.009665307821172602	0.010722729997167954	0.00950399490105415	0.007933352573666926
CC120065	p5	0.00033516528522511583	0.000817145444996975	0.002045738505687446	0.005374902745400716	0.01582760951556429	0.04878330544371649	0.11476567940162384	0.1555129701662264	0.16867426411987077	0.202520284427888	0.26553386965660225	0.36461820921002386	0.5342549504414228	0.8077019237198344	1.2598607029201292	2.06619215381288	2.8563622773229502	2.98360803767814	2.715667995919366	2.6089822493170884	2.468736932258724	2.147861503071133	1.7583754070010378	1.4258905899817005	1.17663924169231	1.0385799822424038	0.9506845756022096	0.8933954718956847	0.8740407624240455	0.8634219608025069	0.830214028997592	0.7906189946966824	0.7847004236047516	0.7981038144434434	0.8416279650391967	0.9188186486682832	1.0061256080302803	1.0369009526563693	1.00487345669555	0.956974363363693	0.9144156174089378	0.8672331132324509	0.8171416998093637	0.7622910637796422	0.701122356447529	0.6345646319002851	0.5611062237619909	0.4888305281110101	0.41337095376568855	0.34371885573590155	0.2828836444376648	0.22700361978412104	0.17258221932682402	0.12457423636103811	0.0873568166986681	0.0594936673286538	0.037656253191497575	0.022487693766016868	0.013053199402256625	0.007441328443206268	0.00417401540124656	0.0023048207043960284	0.0013157954528210678	0.000725874569434673	0.00041384581878299413	0.0002600310639911613	0.0002159989216006951	0.0002904960747725555	0.00048481289774803687	0.000904887776132342	0.0016636177307537503	0.0029410341497371336	0.004083973310758779	0.004322730487061846	0.004651352725857333	0.004224356224364136	0.0034878810855738947
CC120218	p2	0.001416140986375079	0.001173853594732241	0.0011851382376956627	0.0020289761847773606	0.005298879918143872	0.017103179671434186	0.05021187413371723	0.08509052761871144	0.1003040068875462	0.11595084771599046	0.1403163488241803	0.18135107998112754	0.2409203441186468	0.341711122624551	0.5081296504236937	0.799000292687613	1.37683406278159	2.0397811518772078	1.9662176877573774	1.2591975218366749	0.6540717832632829	0.39838032795082057	0.306883545299053	0.23945795098114667	0.19526589417340998	0.18646792270339843	0.20826804043773103	0.25058121113120996	0.2801587639157442	0.27804613236378717	0.2775876564628898	0.3036525197832186	0.346104323453119	0.3986476226154387	0.44952758686295224	0.48971685715866403	0.5483384325250018	0.623475759583546	0.694828139769785	0.7211793718539788	0.6552943597068672	0.5911711571388808	0.5312861698753332	0.48355310901534504	0.4514910655828215	0.43141310709064884	0.4131520695540781	0.39285645784530865	0.3651513983460433	0.3448110246892741	0.32005283898897147	0.2707469326923908	0.21730905840167328	0.1585824918115444	0.10394199786230571	0.06631444435583135	0.04009721932535338	0.02406846413741725	0.014326968286701639	0.008806666359040864	0.004596128550772987	0.002408970451179661	0.0013426588962310447	0.001094971270983969	0.001397760246138414	0.002091085231161353	0.003558789871838953	0.005890381245050399	0.009668584189039174	0.014551155918457173	0.019078518228739096	0.024128983404713915	0.029517491276960014	0.03613445949447727	0.03813879244579802	0.0349928950612607	0.030256001788508638
CC120218	p5	0.0011023656491241033	0.0022490548940483296	0.0044449897157338965	0.009453181063515642	0.021599206247764242	0.0521307784156451	0.1066932677523037	0.16050530964278356	0.14880771736006676	0.11413851203652298	0.11165336931988346	0.1495869370260473	0.21094566508225993	0.27342445296005174	0.35000271804541766	0.6112359803396655	1.4105575279257974	2.092234284466063	1.793203558173013	0.8965366473039438	0.4220495583209073	0.27602529521090546	0.21799257079436962	0.1776888381578797	0.16561986854071817	0.17227261361143514	0.19309405241403424	0.23054893060805695	0.27379950806084774	0.31363159267599655	0.3656671758954376	0.4381199443699669	0.5123173961611109	0.5724167349319725	0.6401053187218905	0.701343664202091	0.7596115672012086	0.8197237484580426	0.8840506721243955	0.8974944612917456	0.8206046668555127	0.7591331203641027	0.70570499111312	0.6646806741143881	0.6324651871018718	0.6051974146415634	0.5789743349872938	0.5546015033025288	0.5342803563678502	0.5015418561987387	0.46719405264232344	0.4283906438230101	0.38120215890392545	0.3282951236043865	0.2696462940474846	0.2149618575601067	0.1719838122084232	0.1333802753216653	0.10115121934245844	0.07120492624164505	0.04585011621070272	0.02815976605925092	0.016246565077198936	0.008901986550762306	0.004904117252043348	0.0029642448146414697	0.002609201154526778	0.003529295943744311	0.005413718777798742	0.00861678835850408	0.0127232829768791	0.018237942539280988	0.023373402553225175	0.026966292985091483	0.03031063839651442	0.02860318091072414	0.0227931771822452
CC120470	p2	0.003166108695382538	0.007182769413291408	0.017475607808244278	0.04218743306863007	0.09435236035932647	0.18815770910636623	0.31551103295800675	0.44191992700998833	0.5560412883858634	0.7015789254350542	0.9135313527844124	1.130377707297494	1.2754418754522983	1.335010730108095	1.3378214573244513	1.3384995315601314	1.3210088327996672	1.2080695628438758	0.9909262152141737	0.7723965193995403	0.6346699212773573	0.5666085838107732	0.5342029186836863	0.5363678704081744	0.5443269319136597	0.5508069758715102	0.5363339772385012	0.5070608839998132	0.46618750092657224	0.40614801650584814	0.349401421278625	0.3079791345943091	0.27487587774432004	0.2509793836684732	0.23795569502249705	0.23486762985969145	0.23198455935742684	0.22829144834650733	0.21933360856849587	0.2129917203700938	0.2109954676444711	0.20914343439843738	0.20953338082791717	0.21157628462097122	0.21678664421748178	0.2303682266123208	0.27095955398438515	0.2732365040598054	0.2574469948652382	0.23095402293601222	0.19859457860191668	0.2190488599137044	0.2509731512164779	0.15588557332763942	0.07013703037073027	0.03362654820037634	0.0176545619572163	0.009180373173543243	0.004893847991765593	0.002635698463339491	0.0014286574436942554	0.0007707570338133375	0.0004306402323252079	0.00026683032529788663	0.00023966563219334595	0.0003507929538834095	0.0007072233313026565	0.0015191930102455675	0.0030465345001003917	0.0055321698795142244	0.009521310126564217	0.01446861734469878	0.022161870674814864	0.028056512610582143	0.028505365595499717	0.02548247899912106	0.022548231347687568
CC120470	p5	0.0006844420475798271	0.0018407612515519663	0.005291473380742362	0.015681372682964094	0.0442982218218185	0.10532352269594289	0.20622902495247236	0.3276754629245751	0.4457847721534344	0.5926651212473527	0.8377623988912692	1.1537345455028203	1.3947317344355195	1.486471879259894	1.515462947967959	1.5248176868562766	1.4608848548636693	1.2755590902665652	0.9895385212804014	0.7185543737967394	0.5357991186433252	0.42534409779523247	0.3519838961430719	0.31314975847002186	0.3048811743523671	0.303026390765112	0.2961123643185808	0.28264103770943005	0.26112585084674356	0.23440393026604675	0.20967022676597807	0.18234905169044682	0.1542664816415353	0.13457248107870026	0.11980262836231718	0.11651865987764254	0.1116129249559038	0.10467368500869428	0.10180252663433176	0.10324654099089269	0.10766123273639912	0.11659969254468443	0.12676535575083991	0.13345233900249348	0.13527904332460872	0.1332589253245795	0.13402676300067962	0.12850597158265406	0.11525074527744276	0.09546001698256402	0.0763394525235124	0.05562617858674138	0.03678820643228045	0.0219424170965524	0.012030437532960974	0.006910455744068955	0.0039946496954121335	0.002288355360280876	0.001240601814351024	0.000651154590076208	0.00037124315319936346	0.0002553076715824433	0.0002516062238649785	0.00039232004519536507	0.0006519465769483996	0.0012688852404078889	0.0024807371761685197	0.004659180277581624	0.008567854534139845	0.015290271077820081	0.024266153742888354	0.037991715306988215	0.05117012488014581	0.054670225471952744	0.05315621829407161	0.048405170899795624	0.0400052647796551
CC120640	p2	0.0013060111744879989	0.0029621490400874024	0.0033066787091270916	0.003912292236975245	0.00873280637601199	0.020785666848903216	0.04782737582883848	0.0911470362453432	0.14651117766535074	0.2215669864309716	0.3313616054277618	0.5055919514245091	0.7688716963677621	1.1248731796445923	1.540945297355813	1.8929259350769627	2.0495386698276015	1.9641298837906032	1.7091987799930115	1.401053241730388	1.1617954373907722	0.9602255548745099	0.7930932270045201	0.6782337831085854	0.6197965833165782	0.5808336786281149	0.5338943800193646	0.4939582625531799	0.46300070226269835	0.43783126637144265	0.42486951588572924	0.4099394790187046	0.3991797002246902	0.39748131415902255	0.3977545010320878	0.3986759813677012	0.4092406814028978	0.4216030827718506	0.4325151804337704	0.44543055655720504	0.4661012924731597	0.48779764352676913	0.512597518972086	0.5422264331298791	0.580564186776944	0.6254804151168846	0.6776547848982184	0.7347211171055384	0.7658426002953823	0.7628623810073902	0.7233873243677628	0.6602592819395183	0.5653043047318188	0.47035830177090393	0.36752082906913064	0.26101237821729706	0.17603965367137403	0.11379109058552557	0.07654668873033799	0.046301419603586504	0.023107867459795668	0.011192117000743866	0.005874509324728879	0.0031735770849325292	0.0018188976233715884	0.0013341749829227816	0.0014195254650523007	0.002072624750472374	0.0037554880459726337	0.005789352459503027	0.008708819126238715	0.0120744301681708	0.01751697898604326	0.024049884439955416	0.027836464437712045	0.025546253732773597	0.020039286431657217
CC120640	p5	0.003851216970751601	0.010983866931806687	0.015778079539454665	0.007490312071443746	0.007773621369547126	0.01609962767443154	0.03458199190192371	0.0697731784094164	0.13050377717913464	0.23063008790735634	0.3881017214419246	0.6212468946615771	0.9531907637575677	1.3628052414915248	1.743724300723176	2.0009910733952805	2.0215199929238046	1.857836360124785	1.5580677891278654	1.2830400585469592	1.068989462512089	0.9464400315858856	0.8522278683987959	0.7787712881982805	0.7184802287488062	0.6546885259046885	0.5946457306064254	0.543283732007437	0.4925263535291931	0.4366982551852301	0.3982484956276979	0.36984594007485944	0.347016810085015	0.318190668194702	0.2963817348295434	0.2813586333991836	0.2693408845162944	0.2561212050472793	0.2508014713528675	0.264696952260065	0.29221218792871073	0.3285583267665727	0.3710277291443997	0.4175087187329156	0.4669936804135215	0.5265061228654786	0.5869341754820105	0.6434583363453509	0.6987348161209899	0.7285279608037124	0.7380512641047116	0.6958250566284979	0.6116604969855074	0.501786351394355	0.3734349460577294	0.2415233572490066	0.1466414071081457	0.08512844911843412	0.04511526684953063	0.022997583194472	0.011753375632669932	0.0057891915372197	0.0027297458352439083	0.0013380480890862634	0.0007341900791007221	0.0006266204914004552	0.0008472468566203804	0.0014681359426855316	0.002629907092720316	0.004809124651519888	0.008176862165863361	0.013646619086063115	0.020241144897569344	0.02624122496817382	0.029386312709640046	0.027699111442604816	0.02337010127243726
