freqs	phase_2_spectrum	phase_5_spectrum	spectra_sem	chan_units
33.0	3.2690039468525355e-26	3.2832373173226134e-26	8.948418684255778e-28	(T/m)²/Hz
33.5	3.2259134996812366e-26	3.277548213238358e-26	8.858150000173957e-28	(T/m)²/Hz
34.0	3.1707200723564086e-26	3.271030992659668e-26	8.338344009998592e-28	(T/m)²/Hz
34.5	3.144638967651229e-26	3.253224186939237e-26	8.256989230345848e-28	(T/m)²/Hz
35.0	3.133035123602737e-26	3.2523857810441e-26	8.282986937865123e-28	(T/m)²/Hz
35.5	3.0790219713265566e-26	3.271019054791359e-26	8.490199133964292e-28	(T/m)²/Hz
36.0	3.038436830502607e-26	3.230634353560612e-26	8.30796991185181e-28	(T/m)²/Hz
36.5	3.0391602308315126e-26	3.176025606673276e-26	8.041537367733179e-28	(T/m)²/Hz
37.0	3.0388853205141653e-26	3.1614949080760105e-26	8.091306956215306e-28	(T/m)²/Hz
37.5	3.029148099053753e-26	3.1383956141325667e-26	7.665826770745837e-28	(T/m)²/Hz
38.0	3.021552655788616e-26	3.1519482389039873e-26	8.0272013652959195e-28	(T/m)²/Hz
38.5	3.0175389756725505e-26	3.143075266148944e-26	8.329806952888632e-28	(T/m)²/Hz
39.0	3.034716138346047e-26	3.1394705419397127e-26	8.033107971510824e-28	(T/m)²/Hz
39.5	3.002926398031518e-26	3.13653757158002e-26	7.714044619980243e-28	(T/m)²/Hz
40.0	2.980868235348722e-26	3.102929225563412e-26	7.441854175629143e-28	(T/m)²/Hz
