r_squared,Aperiodic_mode,Counts
0.9862519360801784,Knee,204
0.9701830593969097,Knee,204
0.9453590364566977,Knee,204
0.9822569028831404,Knee,204
0.9650416593178339,Knee,204
0.9788160694126047,Knee,204
0.9777836695819881,Knee,204
0.9393447769862945,Knee,204
0.9726083960445653,Knee,204
0.9682883430719385,Knee,204
0.9789392241122267,Knee,204
0.9678992776403562,Knee,204
0.955694332322163,Knee,204
0.9712603713001149,Knee,204
0.9664302236427499,Knee,204
0.9709457070293293,Knee,204
0.9726155258856823,Knee,204
0.9497650905615623,Knee,204
0.9728996199937074,Knee,204
0.9720887250411001,Knee,204
0.9699814363213984,Knee,204
0.9650661529063578,Knee,204
0.9762204303206936,Knee,204
0.9679007457265462,Knee,204
0.9545569573398851,Knee,204
0.9498402049513719,Knee,204
0.9496241464464505,Knee,204
0.9590443587240507,Knee,204
0.9370578254478631,Knee,204
0.9623288310287276,Knee,204
0.9576440657822562,Knee,204
0.9703200360004547,Knee,204
0.9654650637501451,Knee,204
0.9688179141870714,Knee,204
0.9437909599012091,Knee,204
0.9535273833140645,Knee,204
0.9678570622387852,Knee,204
0.974079997532118,Knee,204
0.9776001085472452,Knee,204
0.959927936585714,Knee,204
0.949916975914009,Knee,204
0.9594959276965366,Knee,204
0.9735514177885815,Knee,204
0.9851905571202596,Knee,204
0.9767001073988352,Knee,204
0.9453922676248513,Knee,204
0.9752450924674043,Knee,204
0.9668551911342169,Knee,204
0.9676882605851977,Knee,204
0.9507111716013202,Knee,204
0.9664200396518426,Knee,204
0.9725679781134631,Knee,204
0.9659589220038748,Knee,204
0.9704663558128955,Knee,204
0.963607837505461,Knee,204
0.9070000438003705,Knee,204
0.9433636852947821,Knee,204
0.9673298640402893,Knee,204
0.955164521086989,Knee,204
0.9735658939694951,Knee,204
0.9756227420390294,Knee,204
0.9534579867308542,Knee,204
0.9408473518455572,Knee,204
0.954866560295151,Knee,204
0.9745069287087873,Knee,204
0.9595305389345756,Knee,204
0.9728545349350963,Knee,204
0.9750868649715659,Knee,204
0.9436711120059273,Knee,204
0.9651292923844719,Knee,204
0.9686638870815849,Knee,204
0.9746459010529508,Knee,204
0.9680027233696555,Knee,204
0.9642390841355267,Knee,204
0.9563340266579253,Knee,204
0.9727731651584802,Knee,204
0.9680047338499284,Knee,204
0.9787265133645733,Knee,204
0.9739973607416571,Knee,204
0.9824947726547143,Knee,204
0.9765748681685273,Knee,204
0.9744539331058217,Knee,204
0.968640638964762,Knee,204
0.9592858900783295,Knee,204
0.9514142062533171,Knee,204
0.953073792327083,Knee,204
0.9598119041118967,Knee,204
0.9620930274072678,Knee,204
0.9770463880331315,Knee,204
0.9743658529457029,Knee,204
0.9613577020196843,Knee,204
0.9510911673807187,Knee,204
0.9600387907684808,Knee,204
0.9644936004427808,Knee,204
0.9708249153791666,Knee,204
0.9762667940094595,Knee,204
0.9380665850059206,Knee,204
0.9262318048311405,Knee,204
0.9350722991349939,Knee,204
0.9661255831217643,Knee,204
0.9572387850964765,Knee,204
0.9545148588697037,Knee,204
0.971454572938448,Knee,204
0.9640629536118799,Knee,204
0.9335210202096373,Knee,204
0.9647687479116904,Knee,204
0.976351621137178,Knee,204
0.9522658706687732,Knee,204
0.9534863097011606,Knee,204
0.946599277869578,Knee,204
0.9623618614713653,Knee,204
0.9594331214094447,Knee,204
0.945508645350022,Knee,204
0.9536378712449335,Knee,204
0.9699030115595756,Knee,204
0.9462785083960931,Knee,204
0.9562290792442176,Knee,204
0.945082558102294,Knee,204
0.9657453066642424,Knee,204
0.9696691448777646,Knee,204
0.9381476333549952,Knee,204
0.9612253166512789,Knee,204
0.967051213014089,Knee,204
0.9406651122507895,Knee,204
0.9681805720650013,Knee,204
0.9051269753141762,Knee,204
0.919127414396934,Knee,204
0.9680465949406764,Knee,204
0.966133522841929,Knee,204
0.9361061171814344,Knee,204
0.9634796337268006,Knee,204
0.9805289920909739,Knee,204
0.9595286276222813,Knee,204
0.9813746404513582,Knee,204
0.9680177654632166,Knee,204
0.9499048869567991,Knee,204
0.9788372717511158,Knee,204
0.935552760496661,Knee,204
0.9791519550304326,Knee,204
0.9726474060847079,Knee,204
0.9308744917588657,Knee,204
0.9633446035333267,Knee,204
0.9755592884892275,Knee,204
0.9692407032073141,Knee,204
0.9638648623992055,Knee,204
0.9562151882927654,Knee,204
0.9721908497952952,Knee,204
0.9506305421511643,Knee,204
0.9674102670811898,Knee,204
0.9561613014676841,Knee,204
0.9433236169769198,Knee,204
0.9692394733108319,Knee,204
0.9647465390803612,Knee,204
0.9768587457556979,Knee,204
0.9667197915941227,Knee,204
0.9717035075072828,Knee,204
0.9675326957763679,Knee,204
0.9484648233481071,Knee,204
0.9548022333570513,Knee,204
0.948063424134913,Knee,204
0.9617337528652513,Knee,204
0.9292237054619953,Knee,204
0.9588151598058875,Knee,204
0.9282906609891797,Knee,204
0.967038110708741,Knee,204
0.9583668487117074,Knee,204
0.9665471451229981,Knee,204
0.9584329911923553,Knee,204
0.9538544029391596,Knee,204
0.9690930821991268,Knee,204
0.9497639765661368,Knee,204
0.9718957350134502,Knee,204
0.9613286825737197,Knee,204
0.9402321214360592,Knee,204
0.9637976421297608,Knee,204
0.9554576646949913,Knee,204
0.9836750604559611,Knee,204
0.9732170479041068,Knee,204
0.9404001670478129,Knee,204
0.9593452639466531,Knee,204
0.9672814459852076,Knee,204
0.9709535751368404,Knee,204
0.9467971050191485,Knee,204
0.9639945169925082,Knee,204
0.9659111884904197,Knee,204
0.9538770030570257,Knee,204
0.9629837633642262,Knee,204
0.9565378217848598,Knee,204
0.9268641434301743,Knee,204
0.9092006667684311,Knee,204
0.9655223708917512,Knee,204
0.9359030652701377,Knee,204
0.9623393877205715,Knee,204
0.9693577346602675,Knee,204
0.9492054404628056,Knee,204
0.9507504646760682,Knee,204
0.9290915474961947,Knee,204
0.978523979621893,Knee,204
0.9510177678290953,Knee,204
0.9868317768410355,Knee,204
0.9717714479576524,Knee,204
0.9511153245398336,Knee,204
0.9534369614275212,Knee,204
0.964567525112219,Knee,204
0.9721676766647632,Knee,204
0.9582518944536595,Knee,204
0.953537295481778,Knee,204
0.9497808338255661,Knee,204
0.968055285789311,Knee,204
0.9694484612393853,Knee,204
0.9795467542342144,Knee,204
0.9721553272484019,Knee,204
0.9826897151170018,Knee,204
0.9746953579311243,Knee,204
0.9632513652023447,Knee,204
0.9645973077509653,Knee,204
0.9644455898864042,Knee,204
0.9688090604160499,Knee,204
0.9579167497925883,Knee,204
0.9571377867168362,Knee,204
0.9562569664439936,Knee,204
0.9721290434667935,Knee,204
0.9747817627164734,Knee,204
0.9658469425417772,Knee,204
0.9613723531920061,Knee,204
0.9553065263358589,Knee,204
0.9710105730465916,Knee,204
0.9764140758118263,Knee,204
0.9705953172527008,Knee,204
0.9500649822825518,Knee,204
0.9361305442668465,Knee,204
0.9148817019707494,Knee,204
0.9468152327958409,Knee,204
0.9559066167947425,Knee,204
0.9510400484944839,Knee,204
0.9661963246751504,Knee,204
0.9502300096888616,Knee,204
0.8989854224056695,Knee,204
0.9585346503408897,Knee,204
0.974635502246381,Knee,204
0.9806733485185108,Knee,204
