Subject	Phase	Freq_1.0Hz	Freq_1.5Hz	Freq_2.0Hz	Freq_2.5Hz	Freq_3.0Hz	Freq_3.5Hz	Freq_4.0Hz	Freq_4.5Hz	Freq_5.0Hz	Freq_5.5Hz	Freq_6.0Hz	Freq_6.5Hz	Freq_7.0Hz	Freq_7.5Hz	Freq_8.0Hz	Freq_8.5Hz	Freq_9.0Hz	Freq_9.5Hz	Freq_10.0Hz	Freq_10.5Hz	Freq_11.0Hz	Freq_11.5Hz	Freq_12.0Hz	Freq_12.5Hz	Freq_13.0Hz	Freq_13.5Hz	Freq_14.0Hz	Freq_14.5Hz	Freq_15.0Hz	Freq_15.5Hz	Freq_16.0Hz	Freq_16.5Hz	Freq_17.0Hz	Freq_17.5Hz	Freq_18.0Hz	Freq_18.5Hz	Freq_19.0Hz	Freq_19.5Hz	Freq_20.0Hz	Freq_20.5Hz	Freq_21.0Hz	Freq_21.5Hz	Freq_22.0Hz	Freq_22.5Hz	Freq_23.0Hz	Freq_23.5Hz	Freq_24.0Hz	Freq_24.5Hz	Freq_25.0Hz	Freq_25.5Hz	Freq_26.0Hz	Freq_26.5Hz	Freq_27.0Hz	Freq_27.5Hz	Freq_28.0Hz	Freq_28.5Hz	Freq_29.0Hz	Freq_29.5Hz	Freq_30.0Hz	Freq_30.5Hz	Freq_31.0Hz	Freq_31.5Hz	Freq_32.0Hz	Freq_32.5Hz	Freq_33.0Hz	Freq_33.5Hz	Freq_34.0Hz	Freq_34.5Hz	Freq_35.0Hz	Freq_35.5Hz	Freq_36.0Hz	Freq_36.5Hz	Freq_37.0Hz	Freq_37.5Hz	Freq_38.0Hz	Freq_38.5Hz	Freq_39.0Hz	Freq_39.5Hz	Freq_40.0Hz
CC120049	p2	0.045717403618056124	0.043113090843743984	0.03580853970751788	0.031073353256380717	0.026480617029435664	0.021841912447632394	0.01913433394160494	0.01889464531602115	0.020341750652807092	0.023435273977838473	0.028762204848261887	0.03644819333827454	0.04444808984071386	0.050402942046959234	0.05596772804690036	0.07534785539766671	0.1517072023281261	0.27753210354548347	0.3096446724223767	0.19862639750314665	0.08881351911977332	0.04690032255697893	0.03074098751235613	0.020863150680619648	0.01619739467068493	0.013748208536757827	0.012167852026118345	0.01120521740569494	0.010642380143999075	0.010482751155193577	0.01056732502626179	0.010738914139616048	0.010783856349790363	0.01055594222789635	0.010537389542184711	0.011892322931086963	0.015384858095174234	0.018679779025323487	0.017714014375163026	0.013154350752412731	0.009313289821526695	0.007871050198188585	0.007450362840804738	0.00670140810728451	0.006054123431296998	0.005492167157193088	0.005000633708905885	0.004461269559918243	0.004105095039501371	0.0038734324454203295	0.0037223604750476684	0.0035986724208038594	0.003437861792867008	0.0032316373104220824	0.0030653501879865774	0.0030418021185231923	0.003140418436643521	0.003123926296797875	0.002772128981238683	0.0022274383012983612	0.0017875295631940159	0.0015481831701094986	0.001429356938543432	0.0013565567571397694	0.0013003211600406597	0.0012555676982392064	0.0012230557519528876	0.0012050569097226567	0.0012017437984392749	0.001205987187529762	0.0012082248062864293	0.0012183640676378606	0.0012422211811903984	0.0012766725267168869	0.001322378714977844	0.0013774206693842731	0.0014201704170203242	0.0014183976768213631	0.001356435600756247
CC120049	p5	0.039224544764096925	0.02780261114144667	0.021747168689571824	0.01927207737460433	0.01811069902035518	0.01486526599831994	0.013425583796191009	0.014171001805314934	0.016050289763605848	0.018305716985377363	0.022759185676816878	0.028889283887244835	0.0365354554228934	0.03831843223421164	0.044283041102528786	0.05683639032259776	0.10691202217364813	0.32407094378252355	0.4547381569963351	0.1803417595639415	0.08139784098797258	0.04516586790170826	0.025147042328368577	0.02135084848435629	0.01922038281627366	0.015230960336923187	0.013042813628998612	0.012104075732209422	0.011492027164148953	0.011526446447658864	0.011881912996592957	0.012212904844654648	0.012591417606957757	0.012554569396978769	0.012119310334535251	0.012565930197626581	0.01632062284782172	0.022094086259783992	0.021252467176843225	0.01436293332074305	0.011166969181371689	0.010321625200815329	0.008321791893106356	0.007218176940421403	0.006288468803071599	0.005501628097878152	0.004820477580733065	0.004292304218937628	0.004031676636460158	0.0038066315939360423	0.003677620943896926	0.0034064252992755	0.0032526160680292674	0.0031299501340654426	0.0029680646593396834	0.00297953731919086	0.0031216244971761127	0.0031977675635358523	0.0027863285001457783	0.0022650141099428795	0.0017867007863423747	0.00154831592119469	0.0014055509163677156	0.001311284702339892	0.0012319167667714695	0.0011579301975212597	0.0011109335476782599	0.0010610789096867454	0.0010592810009456422	0.0010235772464376057	0.0010293124789290701	0.001074746076011509	0.0011009001365538918	0.001156309833286318	0.0012189302155855269	0.0012703066115806656	0.0012983240258969313	0.0013111104956979138	0.0012139439182189344
CC120065	p2	0.09648963965783149	0.05411910117330899	0.03677163869240842	0.0299809301012794	0.026748333318337616	0.024916082458294565	0.024016019673065114	0.023458138413699803	0.023933175136870585	0.02495835915066912	0.023048531976742875	0.022276001202146137	0.021998744258875734	0.0230355271781942	0.024155339013035328	0.02814269983048321	0.034082134211278814	0.05237490082296049	0.11180455371318641	0.18609385201376133	0.1528809997147622	0.13729014324004943	0.15092770432560315	0.1161847107791025	0.07449107013270033	0.045970054265503636	0.030924571779162257	0.022768890183510082	0.01855341490785516	0.01654665126936186	0.015321799644143347	0.015122388321935973	0.014395192961814024	0.013407931924576552	0.013513532996614409	0.01289243142837996	0.012884698292196706	0.01284423392011255	0.013347406707744494	0.014571506229610835	0.0161422377834827	0.015441710623584076	0.013668996680871154	0.012876807796949132	0.012164219290905016	0.011521225172435564	0.01101069012431665	0.01028139639494544	0.009762075293312772	0.009079241241570436	0.007982384525092423	0.007197315286143847	0.006698162150278794	0.006430004722227321	0.00604196706904305	0.005422679760075822	0.005001688007871488	0.004722818968246793	0.004794653150746609	0.004634619067097627	0.004224991005361442	0.003927751871671355	0.0036120638887945566	0.003532033758752915	0.00346524812685587	0.0033013479058389542	0.0032030688355340117	0.0032661947418077476	0.0033571608099802804	0.003437684892611704	0.0035750065956134977	0.0037916636680031595	0.0039842245852930586	0.004103295216327908	0.004118505503247335	0.004188910921882905	0.004406665876573499	0.004464264818031812	0.004333617352735187
CC120065	p5	0.07633010194311593	0.04511361282111404	0.03256750394183566	0.027544705637569306	0.02469846941647886	0.023729867547237375	0.022539227242684735	0.023261724751510223	0.025730052932368793	0.023675806620472556	0.02161004195450555	0.02081499166380703	0.021044245926440303	0.021531247952517676	0.024076763725129294	0.02883728028781102	0.039466098941160134	0.08723723311419028	0.21660897452612143	0.21295413666482796	0.1395927255583578	0.13415053034465407	0.11537837555718582	0.0772100438654785	0.04985062513745784	0.03414804156931846	0.02605551267942042	0.02295324262787625	0.020204216221529167	0.017743485517490755	0.01702656381310792	0.016940784718479193	0.015966970880984997	0.014997337545851822	0.01424778349764044	0.013397720945987561	0.013386220389776117	0.015471560870790383	0.017345026922640533	0.017147791667646767	0.015590149989499466	0.013904414156767297	0.013284608392752082	0.01235180615963566	0.011534462836472425	0.010815285890360939	0.010158980999846965	0.009280178359831037	0.008378632975391131	0.007740698940072385	0.007242432593332557	0.0065579600906340695	0.006159830084435359	0.005822649973081955	0.005368840691059449	0.004955921988549021	0.004707874312367328	0.004530233279952973	0.00414137635158598	0.003928310632394374	0.0035949541430798137	0.0034142906890860802	0.003187761153373268	0.002992258883575589	0.0028153429629862985	0.0028567021225481388	0.0027980710874478567	0.002755508111201131	0.002868719741087796	0.002892278081670105	0.002984835122139869	0.0031156871957949395	0.0032199569786751274	0.0033905302743779827	0.003564059214860022	0.0035616380920863036	0.003563329487939905	0.0037028402984673327	0.0036899813811307612
CC120218	p2	0.16313918380464598	0.08647904109177991	0.056057326689666946	0.042398062842383386	0.035495006922032946	0.03222098918963828	0.03014564927437816	0.028645678763998095	0.029575862524831884	0.0309050059735367	0.02809003537523964	0.026748183033519578	0.026288519214045073	0.026313245792598732	0.027862153148015503	0.02970892194771103	0.035096644705444796	0.04325143024188824	0.06937457053481061	0.14730580335531215	0.1317065959869156	0.05826643226526793	0.031270243040662137	0.02577756769483958	0.023212273935437854	0.020107401706801076	0.018917376707334944	0.017490193512005314	0.018089210033941986	0.018945536147267912	0.019552130355153928	0.01873149433124457	0.017641444800792057	0.018030839787315248	0.018989618237087363	0.02034423277334583	0.021156013603370105	0.020432461219506773	0.021231662490847545	0.02332833552443956	0.02645765012835974	0.026930417764725635	0.022667900324215316	0.021295857290212897	0.020090479511626038	0.019025988738787775	0.018064802788201266	0.018268011731144562	0.017334305249445084	0.01713108249490636	0.016278763385471698	0.016158986347186297	0.015764627238151564	0.01458511538070667	0.013635157154394725	0.012666023085752513	0.011588084703583341	0.010977814204087317	0.010646398431261084	0.010199981010049956	0.00998109251503173	0.009148267063776026	0.009232672227991784	0.009002362429333359	0.008895623919725553	0.008601883242567264	0.008492435858236095	0.008711085652755938	0.00887676405161957	0.009044434859473852	0.00984321465715082	0.010349475914877958	0.010596416877734249	0.010731037441864101	0.010923484911085328	0.011436295276108928	0.011730697815465749	0.012020399098310755	0.011724245095779356
CC120218	p5	0.132513603174856	0.0746642055087244	0.049778384444755755	0.03793853801708805	0.033085809588548766	0.03197438043419678	0.030377115024577055	0.030602174563373736	0.032702495170839216	0.033938703394590715	0.03060861084867095	0.02831828093736342	0.02648572354840117	0.026768422065727656	0.027545666201444673	0.029197999052825916	0.031130291924108582	0.03577854377739055	0.07682001203514537	0.15660220166966432	0.11037888281976234	0.04187296698399624	0.02633462797805215	0.022405353273810612	0.02136094911077116	0.019761873851533395	0.018308401756893328	0.017755825059355853	0.017873731135749235	0.018266881373578486	0.018956864686790902	0.0190621459000083	0.02038310891020814	0.02191257618775864	0.023240592419486696	0.023730216689196393	0.025048627136599423	0.02633789788080779	0.026617614130541756	0.028374240649081197	0.030926372471251174	0.03186631619161927	0.026851827013137295	0.025294439306512324	0.023944136871110293	0.022765993691326265	0.02158937498696897	0.021062126775405164	0.020171873900184118	0.019452003864398312	0.01874159928020394	0.018092521357298268	0.017011153059531534	0.01663785406978069	0.0156346287152555	0.014715699290877531	0.013764410433000397	0.012747122830663987	0.012034750648208959	0.011284044338417086	0.01104860466908795	0.010792332997137714	0.009933768207458603	0.009200649551867118	0.008826635177307205	0.008206772128926029	0.007932366298607786	0.007868556750509416	0.008081766934999754	0.008078143286632845	0.008257358719712173	0.008383160477000974	0.008905820113646256	0.009279034068112441	0.009413344976243515	0.00919040241944681	0.009347393230008095	0.00956018707946787	0.009095432179659524
CC120470	p2	0.2360770751400311	0.167274237743148	0.12884600924411863	0.10365038348772684	0.09451280874045068	0.08976098145761909	0.076637155731586	0.07039038575211656	0.0677590131310686	0.06356614845373898	0.060741295977307465	0.059076681778464916	0.06612441224747237	0.07465818358396906	0.07909349128097812	0.07471551487290949	0.06586042858153021	0.05892603002864801	0.05775943068077079	0.04801190325424672	0.033454318625921665	0.0248364022085112	0.02085356632027705	0.018691805577682394	0.016320362708264483	0.015208934155231531	0.014722271377699212	0.014226862781075942	0.013021990085318489	0.012345466340813037	0.0112029609775237	0.009550756451352976	0.008483474270443436	0.00798909432317499	0.0072409545298679975	0.006910423947312324	0.006574813738071617	0.006236901518118456	0.006102854536056418	0.005806012011027754	0.005574581389168087	0.005299790171529161	0.005133303204938784	0.004947777625242141	0.004774747001233251	0.004613081643417226	0.004466077791589092	0.00427581864883138	0.004566276115453548	0.004331093946994559	0.004084118219072943	0.003941378213184263	0.0036061106568459813	0.0036334691979729825	0.0037837081908089487	0.00317275943086056	0.0027546897028209905	0.0024823301598676253	0.0022731037382299805	0.0020778689991539107	0.0019364130967600374	0.0018135736023666294	0.0017431365046723965	0.0017635754313608898	0.0017557817172660875	0.0016777841861898306	0.0016304686617897527	0.0016476741098680734	0.0017102118275185577	0.0017506306102025389	0.0018359463056372121	0.001922470301841597	0.001959441799848233	0.002024791064894563	0.002062449787185497	0.002175912370328163	0.002235509341939863	0.0022495355151371525	0.0022586992726927892
CC120470	p5	0.16311692976211647	0.12201336003998323	0.09474786879273216	0.08293762087772989	0.07324565633944753	0.06690181454226926	0.06270483264291582	0.05731436126062901	0.05590199780137587	0.055319652060654555	0.054428795606785534	0.05435814491286369	0.06335683997838569	0.08422101140243976	0.09846134663115547	0.0941865693319541	0.08910926303062316	0.08652713285401181	0.0778276809715935	0.0600086935749178	0.04087450827013918	0.029649408783936786	0.023670511946577925	0.020410699740745136	0.017835403532377583	0.016178222848241525	0.01538050125350169	0.014777326438816763	0.013920131732997998	0.013311562171788166	0.012255049921241233	0.01171658128869244	0.010895005679551213	0.010125920174196121	0.00940653500262198	0.008829936047898144	0.008377787210470514	0.008346793282047748	0.008103028607906564	0.007742375397166698	0.007394381333451571	0.007252419703649569	0.007226640078660689	0.0071176490118920015	0.007014663287265339	0.006917253401423651	0.006721745882346009	0.006405936938961632	0.00627321580637523	0.006123207420628819	0.0058979254279535424	0.005546303240416451	0.005336301399165143	0.005172486242733429	0.0048653544520341095	0.004558081035030839	0.004255520223366449	0.004057549151918594	0.003747607030047047	0.0035293045681552477	0.003512845577180144	0.0034265341394580907	0.0032601629617861616	0.0031075922063923114	0.003034518441570335	0.0030267353753103345	0.003156314288395771	0.0030654402329629215	0.0032388110718414086	0.003340571602651766	0.0034690102358710785	0.003657397725645612	0.003963359833011998	0.004197152888171859	0.004310000907649901	0.00444725132823801	0.004479436082671755	0.004659383726333843	0.0045910777498792636
CC120640	p2	0.1774613071237526	0.09231933271487433	0.06057947755912328	0.04989214695823488	0.044067579105496135	0.036810543732760506	0.03681950594553812	0.03490104814085959	0.033753017781423256	0.033517007770879625	0.031757738506173354	0.03154626234261298	0.03376825487005441	0.0361774571083604	0.0428542854713297	0.05522669813940193	0.08290043122491549	0.11833757326911429	0.13153556911724015	0.11096530123962825	0.08226909208362522	0.056167683915358466	0.04461215095872724	0.03552244492720056	0.027823624910116036	0.02370945988982332	0.022092447248865683	0.02082212865439262	0.019601002227762107	0.017950712814444363	0.01655287774767264	0.015746451580681414	0.015295318228053066	0.014459684852246612	0.014077798608139241	0.01365481337324063	0.013333270645681725	0.012971385453262206	0.012700705062924086	0.012630087485812168	0.012746395209702976	0.01242582801280848	0.012520134380062992	0.012519934377990698	0.01254013571236252	0.01257962984917289	0.012473127864134279	0.012999352303634954	0.01360331899025742	0.01428291512949938	0.014551688313876182	0.014086020863087051	0.013067615459756257	0.01212630433755556	0.011134620265517332	0.010120802400009607	0.009059939741005399	0.0077570956470425214	0.006871477238658396	0.005942314430534962	0.005511393878430143	0.005036707708345962	0.004576873074857421	0.00426319578129462	0.003961671412198312	0.00394330445387954	0.0039903373849913305	0.004007708886934056	0.004113284922021945	0.004352500201679994	0.004597123670936821	0.004749073070687141	0.004928274289187275	0.005193263471291918	0.005423781737577972	0.00546654376865085	0.005616652548701149	0.005571722689280756	0.005669822588913946
CC120640	p5	0.10521103182964006	0.06302451310212259	0.04479785863805683	0.03640210402080172	0.03409829423184655	0.02893622475146254	0.026809604062574936	0.026908314930823046	0.02725066156428396	0.026888412219631074	0.027152826326544283	0.028522929752281028	0.03145769791899562	0.037235271046837486	0.04798858022912135	0.07092651839408397	0.10097424386148604	0.1290887887040219	0.12812479580463762	0.10210802381410565	0.07009021596135158	0.05253111417258111	0.042972080631387605	0.03731683059795282	0.03202777872335184	0.02965192528326123	0.026940810626685383	0.024927176889604493	0.022879196201767635	0.02106775310864094	0.019549228747338446	0.017657809356690257	0.016728697705031242	0.016394033930356836	0.015556930118702026	0.014750072391335174	0.014328337077248884	0.014064190328493755	0.013952003715253326	0.013174615836557753	0.012715707864071266	0.012629081764254002	0.013379846006983265	0.013705833568796252	0.014055409112487347	0.014428703610948189	0.014459183656295836	0.015118378477253693	0.015879950987454563	0.01704187900212132	0.018226561179951178	0.017841322770292944	0.017921896134372912	0.016906794380016903	0.015819106505772382	0.014040649281436213	0.012013705589490498	0.010132864587598869	0.00882909267890146	0.007896564425512021	0.007025544126983836	0.006542824020842988	0.006166686048748976	0.005898936014405886	0.005616453228882481	0.005647797506924761	0.0057679633759061604	0.005986703776254223	0.00618255189874461	0.006386262110440345	0.006810055779294407	0.007280960607291208	0.007522596829482632	0.007839243857054612	0.008095260918667815	0.00840938235068294	0.00860193139443504	0.008852391666179274	0.00892388442527231
