	Estimate	2.5_ci	97.5_ci	SE	DF	T-stat	P-val	Sig
(Intercept)	7.629010154533578	6.894150781335083	8.363869527732074	0.3749351411530889	131.70606092878373	20.34754632780232	1.7559344579823994e-42	***
A0	-0.0079421254251783	-0.05815623487165392	0.042271984021297324	0.025619914367079253	132.0890346331258	-0.309998125340484	0.7570509307046823	
dA	-0.3253235523124387	-0.45203510227959093	-0.19861200234528648	0.06464993794102178	136.36840174260956	-5.0320783387173815	1.5040780024185204e-06	***
A0:dA	0.0024956235860824393	-0.006426260307298208	0.011417507479463088	0.004552065223522132	138.76470476033913	0.5482398567548349	0.5844081196132288	
