Age_group	Phase	Mean	SEM	Color	Alpha	min_age	max_age	n_subjects
Young	p2	2.4291791145242883	0.0659496241909058	dimgray	0.4	24.3	47.6	45
Young	p5	2.488067640509287	0.0659496241909058	dimgray	1.0	35.6	58.7	45
Middle	p2	2.88026718778833	0.060036378371652835	dodgerblue	0.4	47.8	63.1	44
Middle	p5	2.728429310723407	0.060036378371652835	dodgerblue	1.0	58.9	74.5	44
Old	p2	2.831088111367048	0.07831894574096632	darkorange	0.4	63.2	84.1	44
Old	p5	2.4365757738906066	0.07831894574096632	darkorange	1.0	70.9	95.5	44
