Age_group	Phase	Mean	SEM	Color	Alpha	min_age	max_age	n_subjects
Young	p2	9.979380699989076	0.062446759725509345	dimgray	0.4	24.3	47.6	45
Young	p5	9.807281955692645	0.062446759725509345	dimgray	1.0	35.6	58.7	45
Middle	p2	9.640523319772432	0.049694141417493544	dodgerblue	0.4	47.8	63.1	44
Middle	p5	9.4650108246344	0.049694141417493544	dodgerblue	1.0	58.9	74.5	44
Old	p2	9.56448459332303	0.06523969199230541	darkorange	0.4	63.2	84.1	44
Old	p5	9.397041331454178	0.06523969199230541	darkorange	1.0	70.9	95.5	44
