	Estimate	2.5_ci	97.5_ci	SE	DF	T-stat	P-val	Sig
(Intercept)	0.274108126163209	-0.09183937097088019	0.6400556232972983	0.1867113375657086	131.58248243231483	1.468085065090079	0.14446753140222915	
A0	-0.013654268768923622	-0.0386572959988247	0.011348758460977453	0.012756880956549085	131.91416414066165	-1.0703453936296112	0.2864183804998648	
dA	-0.055141224498121574	-0.11342078075019568	0.0031383317539525404	0.02973501386340557	135.56728779274619	-1.8544206756191575	0.06585175843477542	.
A0:dA	-0.0014683234411751295	-0.00557453525489386	0.002637888372543601	0.0020950445243422874	137.60419864382055	-0.700855482599393	0.4845766550474967	
