freqs,aperiodic_fixed,aperiodic_knee,total_fixed,units
2.0,1.7730812335197416e-24,1.754348807024507e-24,1.7810669615277006e-24,(T/m)²/Hz
2.5,1.437635712242609e-24,1.4191317976669332e-24,1.4475958648591991e-24,(T/m)²/Hz
3.0,1.266322137381624e-24,1.247839543616593e-24,1.2877484369688108e-24,(T/m)²/Hz
3.5,1.1756799604182073e-24,1.1675246558109094e-24,1.2254208681748481e-24,(T/m)²/Hz
4.0,1.113050196292925e-24,1.1369204053710618e-24,1.1970999603971215e-24,(T/m)²/Hz
4.5,1.0574564232197054e-24,1.1280108530868151e-24,1.1888937654637867e-24,(T/m)²/Hz
5.0,9.890542510032419e-25,1.1297670240638277e-24,1.1965027051767105e-24,(T/m)²/Hz
5.5,9.22874754993225e-25,1.1510298214495816e-24,1.2605590484055077e-24,(T/m)²/Hz
6.0,8.343648252889692e-25,1.1515014988880969e-24,1.3259799369203324e-24,(T/m)²/Hz
6.5,7.676915246768465e-25,1.1660469374918032e-24,1.4947022041357559e-24,(T/m)²/Hz
7.0,7.008071521273472e-25,1.1601711030647094e-24,1.8184267234313036e-24,(T/m)²/Hz
7.5,6.510602027988619e-25,1.152686482842701e-24,2.4726387398079633e-24,(T/m)²/Hz
8.0,6.163728630130322e-25,1.1436118243697166e-24,3.4073897782272956e-24,(T/m)²/Hz
8.5,5.803352597796624e-25,1.1212172793259946e-24,4.4162948551058254e-24,(T/m)²/Hz
9.0,5.4503157663345e-25,1.0934133760893975e-24,5.702863615062779e-24,(T/m)²/Hz
9.5,5.254567820903641e-25,1.0898251277393794e-24,6.720109658273543e-24,(T/m)²/Hz
10.0,5.015454455661387e-25,1.071103795908357e-24,5.5866564124793554e-24,(T/m)²/Hz
10.5,4.764402149938281e-25,1.0479763524659013e-24,3.931819996017085e-24,(T/m)²/Hz
11.0,4.546411250006382e-25,1.0309451017216638e-24,2.7668412143746706e-24,(T/m)²/Hz
11.5,4.342360409578224e-25,1.0022503068843344e-24,1.995862854701338e-24,(T/m)²/Hz
12.0,4.187861308062694e-25,9.766772502750048e-25,1.580774832293593e-24,(T/m)²/Hz
12.5,4.0443001265596644e-25,9.492402860433103e-25,1.3574747167218845e-24,(T/m)²/Hz
13.0,3.884159687663174e-25,9.159745629047289e-25,1.2237655687959513e-24,(T/m)²/Hz
13.5,3.734485555311549e-25,8.883521145826276e-25,1.1472362804429531e-24,(T/m)²/Hz
14.0,3.619646841328417e-25,8.67247225557768e-25,1.1024739936288376e-24,(T/m)²/Hz
14.5,3.4872208607699067e-25,8.442094235672276e-25,1.0708771212766966e-24,(T/m)²/Hz
15.0,3.3994194688895028e-25,8.253806161907067e-25,1.0531834177680695e-24,(T/m)²/Hz
15.5,3.2906360553234894e-25,7.995691169937794e-25,1.0285306290040435e-24,(T/m)²/Hz
16.0,3.1939884691073678e-25,7.759596111534601e-25,1.005568137057024e-24,(T/m)²/Hz
16.5,3.098244665648849e-25,7.518312899374462e-25,9.831923069280778e-25,(T/m)²/Hz
17.0,3.010808302309322e-25,7.27853339150444e-25,9.600547351527025e-25,(T/m)²/Hz
17.5,2.9259258216250146e-25,7.019325303482534e-25,9.386291917026251e-25,(T/m)²/Hz
18.0,2.851554248086368e-25,6.743047602562362e-25,9.196271384840072e-25,(T/m)²/Hz
18.5,2.79387476550471e-25,6.496213546743911e-25,9.0086134956093e-25,(T/m)²/Hz
19.0,2.733061564092441e-25,6.24005941521016e-25,8.704239191904739e-25,(T/m)²/Hz
19.5,2.668043193914418e-25,5.965754814942284e-25,8.305811911660742e-25,(T/m)²/Hz
20.0,2.6090308645598103e-25,5.699555863345054e-25,7.859790456133005e-25,(T/m)²/Hz
20.5,2.5519062879770307e-25,5.439210266906962e-25,7.437666995183e-25,(T/m)²/Hz
21.0,2.5114890144356977e-25,5.208008781701458e-25,7.072699578714813e-25,(T/m)²/Hz
21.5,2.434978811440819e-25,4.936178487868655e-25,6.651805471535897e-25,(T/m)²/Hz
22.0,2.3999334767396047e-25,4.74293001959027e-25,6.268781425547786e-25,(T/m)²/Hz
22.5,2.35048141812694e-25,4.5285684739314865e-25,5.957434408498607e-25,(T/m)²/Hz
23.0,2.29920390626289e-25,4.307099056099265e-25,5.684419668847397e-25,(T/m)²/Hz
23.5,2.247640308988083e-25,4.0865432710147658e-25,5.444442643848903e-25,(T/m)²/Hz
24.0,2.195816855586892e-25,3.872103802254454e-25,5.233155366404788e-25,(T/m)²/Hz
24.5,2.1717103438067413e-25,3.6972563106407537e-25,5.035828231388268e-25,(T/m)²/Hz
25.0,2.1176778681874717e-25,3.484108339937822e-25,4.777774476737496e-25,(T/m)²/Hz
25.5,2.12492929725982e-25,3.3607497794011767e-25,4.627069440593489e-25,(T/m)²/Hz
26.0,2.073638950720342e-25,3.1584135030569846e-25,4.247812773323635e-25,(T/m)²/Hz
26.5,2.02298993167775e-25,2.9600772834468656e-25,3.830646377053014e-25,(T/m)²/Hz
27.0,2.0142704349867384e-25,2.817871230257286e-25,3.5446671354179144e-25,(T/m)²/Hz
27.5,2.005650624998294e-25,2.6763423153704186e-25,3.2917392157296594e-25,(T/m)²/Hz
28.0,1.9960631507568124e-25,2.5392528978458413e-25,3.0515018559849036e-25,(T/m)²/Hz
28.5,1.954721580657983e-25,2.3749866338782034e-25,2.733498184819088e-25,(T/m)²/Hz
29.0,1.8995462845329143e-25,2.208935026328435e-25,2.4318855928409877e-25,(T/m)²/Hz
29.5,1.8350266767250467e-25,2.0517130523380644e-25,2.187302374751561e-25,(T/m)²/Hz
30.0,1.7586090950122617e-25,1.9020362184241403e-25,1.9827775828464257e-25,(T/m)²/Hz
30.5,1.6676744977102164e-25,1.7572112963588455e-25,1.8046098290917452e-25,(T/m)²/Hz
31.0,1.5751919591209273e-25,1.6282985550989298e-25,1.6565344208814727e-25,(T/m)²/Hz
31.5,1.4964105450623615e-25,1.5268004513708581e-25,1.5451947646247895e-25,(T/m)²/Hz
32.0,1.4064221089554392e-25,1.4215439923006338e-25,1.4330099320108094e-25,(T/m)²/Hz
32.5,1.3394309501114015e-25,1.3452139024027408e-25,1.353026852557111e-25,(T/m)²/Hz
33.0,1.294986377891428e-25,1.2951920128294019e-25,1.30221575665483e-25,(T/m)²/Hz
33.5,1.2661568129970958e-25,1.2626435709941335e-25,1.2706559956379002e-25,(T/m)²/Hz
34.0,1.2551590690387338e-25,1.248543970259198e-25,1.2578699181371598e-25,(T/m)²/Hz
34.5,1.2607921630275347e-25,1.2511080599676976e-25,1.2628390977968484e-25,(T/m)²/Hz
35.0,1.2995393890145487e-25,1.2855154660191688e-25,1.3023534472142979e-25,(T/m)²/Hz
35.5,1.3155007485616505e-25,1.2993982333466868e-25,1.3182671451822112e-25,(T/m)²/Hz
36.0,1.3608555041239309e-25,1.341771496556518e-25,1.3649020442534317e-25,(T/m)²/Hz
36.5,1.4048184462330366e-25,1.3832093334896132e-25,1.4114781886735364e-25,(T/m)²/Hz
37.0,1.4583270783727767e-25,1.4358349592369456e-25,1.468946501339707e-25,(T/m)²/Hz
37.5,1.5075377646023584e-25,1.4855045694763568e-25,1.5235476063913863e-25,(T/m)²/Hz
38.0,1.5453659727447723e-25,1.5257993256829927e-25,1.5683281304692563e-25,(T/m)²/Hz
38.5,1.5747890702471385e-25,1.5592399575095379e-25,1.6054835219701577e-25,(T/m)²/Hz
39.0,1.5980417195583187e-25,1.5855922217556052e-25,1.6318071400377214e-25,(T/m)²/Hz
39.5,1.6034659868784748e-25,1.5912804683379992e-25,1.634219101673178e-25,(T/m)²/Hz
40.0,1.5853370585836568e-25,1.5728026961625132e-25,1.6099259773881798e-25,(T/m)²/Hz
