	Estimate	2.5_ci	97.5_ci	SE	DF	T-stat	P-val	Sig
(Intercept)	-2.7813377874727863	-3.6667902476643555	-1.895885327281217	0.45176976065678015	131.36264326330635	-6.15653819642398	8.411569189400772e-09	***
A0	-0.07962739129013216	-0.14011911787660772	-0.01913566470365661	0.030863692937026694	131.6471433934738	-2.579969657312279	0.010977716800591956	*
dA	0.23420106085273845	0.10447451652226716	0.36392760518320977	0.06618822863773914	134.74073164627578	3.5384095582095987	0.0005528707149064184	***
A0:dA	0.0009349332188223781	-0.008210576586113997	0.010080443023758752	0.004666162172914906	136.45902767611324	0.20036449316941216	0.8414938327872498	
