Channel	Position_x	Position_y	Value
MEG0111	-0.07917782567001766	0.051627781146274594	0.2949886598310272
MEG0121	-0.06353136754578023	0.057969162895052155	0.3353223458569103
MEG0131	-0.0730639251887479	0.03320062790557991	0.3918609480332201
MEG0141	-0.08729516108785512	0.019972377595029966	0.3034434645783407
MEG0211	-0.06012539158681645	0.03112812918796779	0.49259715100323487
MEG0221	-0.04653875097745701	0.03178404001246294	0.551804382248839
MEG0231	-0.04972914648994039	0.009580229502114183	0.6067240411659259
MEG0241	-0.06316712438417035	0.006398418188404664	0.531012087355396
MEG0311	-0.04109149156914975	0.06914696027120472	0.3618226432206974
MEG0321	-0.03907986262466153	0.0508175498392763	0.4752918170141443
MEG0331	-0.027374527214768678	0.04594113964943207	0.4814927907333665
MEG0341	-0.05229796797302414	0.052454985755394	0.42481777410354665
MEG0411	-0.033398098513486005	0.02936310086280192	0.5697105924548213
MEG0421	-0.019904518422652468	0.02729547953085679	0.5840556752617536
MEG0431	-0.02086282715850025	0.009744304755951304	0.6481311061283779
MEG0441	-0.035467085513417915	0.010304423725947014	0.6396597358642465
MEG0511	-0.027580157794488448	0.07916023304550973	0.30877867654255375
MEG0521	-0.013586548125076415	0.08438625423996286	0.2752223631607056
MEG0531	-0.012577709673718764	0.07149512882671442	0.33684245441071275
MEG0541	-0.026876838781310294	0.06468805429445383	0.3842739959807807
MEG0611	-0.012766171855890778	0.057542489196904995	0.42824135950110154
MEG0621	0.0006163989371623319	0.04393204694549069	0.47220946759752447
MEG0631	-0.0063239257715200945	0.028229791529223024	0.5525457082046603
MEG0641	-0.013237912597600838	0.04314503199426717	0.4999860802219878
MEG0711	-0.006496195033277746	0.011968782810946425	0.5994896757290883
MEG0721	0.007731529148149257	0.011818754427830218	0.5846656635835771
MEG0731	0.007813664322781116	-0.003385812554979035	0.5902665827143299
MEG0741	-0.006695582559343805	-0.003300555853520253	0.5948771624932307
MEG0811	0.0006218616091093528	0.08612123786942011	0.2674242642854976
MEG0821	0.0006183498914291204	0.07316221924768733	0.32936925746003176
MEG0911	0.014742868592142855	0.084430540901819	0.2779111330763042
MEG0921	0.02885860799865603	0.07912160415102726	0.3057368943361823
MEG0931	0.028050912932204512	0.06472083032613589	0.38424670091479046
MEG0941	0.013788266669402	0.07155716917239836	0.34306165439287556
MEG1011	0.0006165940325889956	0.05944544998873293	0.4009949958349814
MEG1021	0.013889131004995102	0.05755029301397215	0.42284876928906956
MEG1031	0.014311512603755377	0.04316668758662856	0.4982970306197569
MEG1041	0.007602375975687663	0.028348214453217255	0.566222844911313
MEG1111	0.020983971291607405	0.027243779242786856	0.5980839286775663
MEG1121	0.03451188817753643	0.029306523189065008	0.5689718685995941
MEG1131	0.03654965990919965	0.010135080895589538	0.661969566839525
MEG1141	0.021967252242070044	0.009898235047601123	0.6523037376036221
MEG1211	0.04244095650862856	0.06909525998313475	0.3532387082057666
MEG1221	0.05372722694201468	0.05225033065280762	0.42054807869681987
MEG1231	0.040238329141421475	0.0508175498392763	0.4665392435398749
MEG1241	0.028442664548976163	0.04597879306678114	0.4910600189696915
MEG1311	0.047697412589643606	0.03178404001246294	0.5531457443486182
MEG1321	0.06124230277769375	0.03096366374327731	0.48087042074977093
MEG1331	0.06448420348282038	0.0062013718074587715	0.5168701407281883
MEG1341	0.05083688819576374	0.009580229502114183	0.6118839001777739
MEG1411	0.06480572074598756	0.05806163812729805	0.3189571514237897
MEG1421	0.0800001427666095	0.05216156223366862	0.27359082829107
MEG1431	0.088290722923338	0.020272434361262446	0.27597082999383776
MEG1441	0.07406943689099142	0.03305723276697078	0.3761960807009716
MEG1511	-0.07677971268527811	0.003966358599422987	0.3751531301168273
MEG1521	-0.07222950204884139	-0.0219130497495601	0.4107689221073156
MEG1531	-0.07723721146084063	-0.04034605585305515	0.28675142532258924
MEG1541	-0.08653077720612637	-0.011924358999016683	0.28198236302878643
MEG1611	-0.06048943965299965	-0.01554240368678064	0.5730956173922083
MEG1621	-0.0477077627741182	-0.010552057767755885	0.6515115737307805
MEG1631	-0.03894583206653299	-0.028376951426292152	0.6522096924610503
MEG1641	-0.05136307068837788	-0.0353750243812716	0.6019626505818297
MEG1711	-0.06035287285432429	-0.06401171639551044	0.3016121538865295
MEG1721	-0.060797885522579316	-0.04522812381027304	0.424552083881019
MEG1731	-0.04348433697736897	-0.06300814552067313	0.44241894376777136
MEG1741	-0.038393126722751074	-0.08072242007228236	0.3022395760005723
MEG1811	-0.03430782848809064	-0.007362052446125851	0.6803988307309841
MEG1821	-0.020584425984629173	-0.005925369724060938	0.6411288231467523
MEG1831	-0.0068963357533965925	-0.017891352623997075	0.5955012459023102
MEG1841	-0.023754141381884537	-0.02371670696920839	0.643509041603246
MEG1911	-0.02532095275354443	-0.041218327505737416	0.6213558616944534
MEG1921	-0.019257386892357904	-0.06060242381429311	0.5588900053090187
MEG1931	-0.022558986798048387	-0.07438025794179808	0.4133273539025113
MEG1941	-0.037067453298466585	-0.050712646445076004	0.5825174182077264
MEG2011	-0.007849767103577383	-0.033039927219349424	0.5968187657507593
MEG2021	0.008912831956691208	-0.03301690595900126	0.5780116159327449
MEG2031	0.00923883641467198	-0.04802013446147769	0.5725819076073869
MEG2041	-0.008079979707058711	-0.047962191119753986	0.5874003541276396
MEG2111	0.0005200217963828467	-0.06377077354356175	0.5320477472646115
MEG2121	0.0005793308060932862	-0.07811340893130272	0.3928746581744484
MEG2131	0.014078958855153867	-0.08946464614177299	0.286355395777403
MEG2141	-0.01299794522278555	-0.08944845322135862	0.29398730174226934
MEG2211	0.02169353335843928	-0.005875230199404379	0.6369187038258012
MEG2221	0.035449711893582876	-0.00723855704103799	0.6803624717404512
MEG2231	0.024933092918445813	-0.02384039746972296	0.635919678946696
MEG2241	0.008102015363412884	-0.017910276880384955	0.5845238895907305
MEG2311	0.026463616540743366	-0.04124486048376579	0.6098842595879913
MEG2321	0.038046236927255034	-0.05075069005327841	0.578127589289056
MEG2331	0.023643902338950275	-0.07436699145278389	0.404012653217131
MEG2341	0.02020807677970459	-0.06063383417798844	0.538638723443079
MEG2411	0.048881056543305726	-0.010370423925517637	0.6512064362255223
MEG2421	0.06152987343661871	-0.015654583557121148	0.5587505002928569
MEG2431	0.052335025977232566	-0.035503202076599766	0.5922901104002893
MEG2441	0.04010449367871958	-0.028376951426292152	0.628517896149874
MEG2511	0.044540573490549046	-0.06303487359412817	0.42876641291296913
MEG2521	0.06193723268752467	-0.04513291724205362	0.4123158559283948
MEG2531	0.0614079387949443	-0.0640747322183278	0.28262675557625094
MEG2541	0.03945209457190471	-0.08076729202041855	0.28313562960789024
MEG2611	0.07775537478723972	0.003972796748503376	0.3519030393935549
MEG2621	0.0875922812958268	-0.011813154605809595	0.25403954711296484
MEG2631	0.07815473512565184	-0.04057158616629619	0.2642014188826645
MEG2641	0.07331851459370356	-0.021885541294398347	0.3860219385775862
