theta_band_power,Aperiodic_mode,Counts
0.2913395636142699,Knee,90
0.08843006329773191,Knee,30
0.10851887802099949,Knee,36
0.27200998501674983,Knee,75
0.1582804751297242,Knee,37
0.2494646128815092,Knee,55
0.09811134968076926,Knee,23
0.20090235906871184,Knee,60
0.11961351412148467,Knee,30
0.47928116342698146,Knee,114
0.1447360440238957,Knee,15
0.253576983616703,Knee,9
0.17387919362273385,Knee,18
0.16343394817467366,Knee,26
0.163762228348713,Knee,52
0.11187796075767435,Knee,23
0.5038748978919886,Knee,27
0.14799818493629158,Knee,91
0.11081403724475679,Knee,13
0.14276639671788438,Knee,144
0.2108321596538282,Knee,45
0.1314414520306808,Knee,71
0.1420583758584062,Knee,53
0.1144322605983738,Knee,1
0.22813597810141428,Knee,29
0.3507368736423476,Knee,128
0.1476259702374539,Knee,6
0.09682778202849845,Knee,44
0.20057154422121726,Knee,31
0.3494951482675027,Knee,122
0.10888391632106661,Knee,87
0.313762871425766,Knee,53
0.1851173191140228,Knee,109
0.20283057787587694,Knee,16
0.21637192986446752,Knee,100
0.17686409556294944,Knee,32
0.22474190140024977,Knee,62
0.17262241002449918,Knee,100
0.2336552183238064,Knee,169
0.18801449949500526,Knee,12
0.0921479197403366,Knee,26
0.14540145479198116,Knee,51
0.27017717080702,Knee,72
0.19589869753111916,Knee,59
0.8087736159172696,Knee,166
0.10398328059163138,Knee,31
0.24123861411969696,Knee,158
0.11150091202858999,Knee,70
0.26376020218461066,Knee,20
0.14976524198848212,Knee,59
0.25893050551902635,Knee,6
0.2456209141986169,Knee,155
0.13751312120105988,Knee,97
0.3902213641573963,Knee,80
0.6223242781243987,Knee,161
0.1669837058383558,Knee,4
0.1036203258489834,Knee,5
0.16178640926753496,Knee,39
0.10064392269776473,Knee,37
0.16088047415899973,Knee,67
0.30296522258975345,Knee,99
0.17372622868543586,Knee,18
0.17557957742927743,Knee,20
0.08479445931822976,Knee,30
0.37777497210619826,Knee,138
0.6603845402207903,Knee,137
0.19693013800697215,Knee,134
0.1284169623258641,Knee,30
0.16333773776893412,Knee,50
0.3514055018637565,Knee,179
0.25220817770768555,Knee,90
0.23288255066183228,Knee,72
0.24726965455322367,Knee,39
0.40966477235604365,Knee,14
0.13057327465605284,Knee,19
0.1629269948597889,Knee,4
0.514640728019357,Knee,89
0.4846029796402509,Knee,81
0.30547923767001167,Knee,59
0.25046279921559816,Knee,45
0.28857644444190644,Knee,43
0.4445624545347561,Knee,73
0.319147621092957,Knee,185
0.2107256252986397,Knee,126
0.5112997195464527,Knee,128
0.13916566361719648,Knee,16
0.26585108099696647,Knee,81
0.20329295155571797,Knee,13
0.6428051887294299,Knee,85
0.3599366723822492,Knee,82
0.34842790751607844,Knee,14
0.28400898012307924,Knee,122
0.16949554640379458,Knee,6
0.4280621338397917,Knee,104
0.3659060383235091,Knee,83
0.37498765626413766,Knee,151
0.1412975221485324,Knee,9
0.2580343892336767,Knee,2
0.10861407820324702,Knee,12
0.46507352472891766,Knee,97
0.1764688268348993,Knee,13
0.14284529857099515,Knee,62
0.26727611649848027,Knee,73
0.27464395369130346,Knee,39
0.13595496886547884,Knee,35
0.19539991371853788,Knee,111
0.33329097104286554,Knee,103
0.2465434245973548,Knee,38
0.062409376103411345,Knee,7
0.18735849457047313,Knee,4
0.15320809683486927,Knee,22
0.3237361610716774,Knee,26
0.32129216963203555,Knee,29
0.18502819809542886,Knee,33
0.718408704636474,Knee,187
0.18021369786626917,Knee,34
0.6530668649423236,Knee,201
0.15970758528145232,Knee,44
0.3345494647922272,Knee,33
0.2917087767885664,Knee,131
0.17636714231186587,Knee,68
0.5084350505484365,Knee,77
0.3934478408490045,Knee,43
0.18672634122870196,Knee,100
0.2380347633175284,Knee,6
0.150125313809386,Knee,47
0.2010341593510741,Knee,29
0.5218598263667742,Knee,47
0.4156375016343121,Knee,37
0.21194565126746306,Knee,2
0.21908057404019263,Knee,13
0.7386620475064133,Knee,164
0.4106097651017879,Knee,63
0.31507953433899916,Knee,98
0.12675277387646058,Knee,45
0.1417441205884159,Knee,60
0.4118119437286678,Knee,120
0.15734638102778925,Knee,37
0.23976796393065197,Knee,62
0.10818985949524619,Knee,26
0.12207121917405014,Knee,25
0.15707916009602294,Knee,17
0.4749325090011854,Knee,170
0.33566485350754643,Knee,38
0.12514219449472544,Knee,17
0.16984375974234048,Knee,20
0.19487132798022577,Knee,30
0.21116133985215726,Knee,93
0.19711490978275534,Knee,43
0.3952183679901678,Knee,23
0.10026851551146503,Knee,56
0.10818787954667568,Knee,5
0.11468410740895459,Knee,114
0.589683425311326,Knee,161
0.11728384355747033,Knee,46
0.1722510350803668,Knee,68
0.1277904285012496,Knee,2
0.1920457929458296,Knee,15
0.3218949942699083,Knee,139
0.2507707979550227,Knee,34
0.3549467480556663,Knee,4
0.2195149564883891,Knee,9
0.35768103445373745,Knee,195
0.10260981715536283,Knee,39
0.316264466501985,Knee,37
0.21993015348273545,Knee,70
0.34286097920582975,Knee,55
0.20097685047617508,Knee,91
0.1593474785721754,Knee,38
0.3497715154594201,Knee,110
0.1946439786811521,Knee,141
0.18747061121427647,Knee,116
0.23423226001338548,Knee,11
0.1289568057831825,Knee,19
0.1640971798425694,Knee,9
0.21116733150603262,Knee,42
0.23264529889512575,Knee,66
0.7988228178986441,Knee,177
0.15021050754002152,Knee,59
0.1968485131674881,Knee,101
0.15048528800653607,Knee,116
0.12992551126331062,Knee,9
0.10263010570358704,Knee,24
0.29416398230837537,Knee,14
0.24837335929368298,Knee,143
0.140685018260419,Knee,114
0.38612346684532295,Knee,27
0.6612364037495004,Knee,168
0.13460419253731712,Knee,4
,Knee,0
0.7500185322210094,Knee,47
0.08422446043373819,Knee,25
0.19393477656144756,Knee,73
0.33874152679450814,Knee,97
0.13859732926245746,Knee,26
0.3119645633923282,Knee,70
0.06652580752601693,Knee,14
0.2958504577967986,Knee,95
0.6286924321771897,Knee,165
0.16444151004245391,Knee,79
0.21742814224194612,Knee,19
0.40736904736390533,Knee,149
0.19833166711778183,Knee,76
0.2611610325178302,Knee,108
0.434555104368939,Knee,65
0.33192027719947603,Knee,83
0.3978332474721754,Knee,14
0.10554450921483213,Knee,4
0.3124386491673334,Knee,88
0.48269038577372386,Knee,82
0.740242654806329,Knee,136
0.34197034044568236,Knee,29
0.4142273238615707,Knee,127
0.19837913121787693,Knee,101
0.6144830107267985,Knee,65
0.37254284386355624,Knee,193
0.2458080602057089,Knee,170
0.27361436760087515,Knee,83
0.21116652507128103,Knee,14
0.24807031817446654,Knee,12
0.2400073987332806,Knee,35
0.5205646264142479,Knee,85
0.49868058121680436,Knee,116
0.5003045506938245,Knee,47
0.3118654500869423,Knee,84
0.26384004406090417,Knee,11
0.3339088187022861,Knee,79
0.47551266763952765,Knee,143
0.4034030035864979,Knee,158
0.25928801460548406,Knee,80
0.38953671844901017,Knee,69
0.10723722474084753,Knee,11
0.4610252414008222,Knee,154
0.6215512647750647,Knee,39
0.4402713235003551,Knee,83
0.2908237037529471,Knee,108
0.2418413262059292,Knee,35
0.12065022672272477,Knee,27
0.2003934605977341,Knee,69
0.28160409825316624,Knee,161
0.3068619162051348,Knee,5
0.0719690677777578,Knee,1
0.1464769847907464,Knee,13
0.22823961558440864,Knee,35
0.3834215540017142,Knee,42
0.3252163692664647,Knee,121
0.2016376720339156,Knee,82
0.6832450153353161,Knee,200
0.16456941778017767,Knee,38
0.561258181947491,Knee,202
0.20102277150301998,Knee,163
0.1450130306329008,Knee,37
0.3034198756471299,Knee,162
0.14093218925490386,Knee,12
0.4708333177803538,Knee,147
0.3291013859601077,Knee,49
0.17646091026034216,Knee,41
0.19094245449599398,Knee,5
0.156941757658777,Knee,35
0.18495785044772384,Knee,31
0.5355942839194439,Knee,77
0.46477046130606714,Knee,100
0.4632541078676115,Knee,3
0.10988138044118212,Knee,25
0.6361290028726084,Knee,179
0.49130450625078964,Knee,120
0.41445038794747546,Fixed,178
0.15677615024964037,Fixed,99
0.13768498504418286,Fixed,59
0.38764945694528347,Fixed,93
0.14900416811582207,Fixed,84
0.3876623542237314,Fixed,136
0.15811364049889792,Fixed,110
0.15710985885012532,Fixed,87
0.27436839066092195,Fixed,71
0.5821760964925997,Fixed,123
0.3191554685715665,Fixed,90
0.26919903343756685,Fixed,25
0.21503949343681913,Fixed,31
0.24617014144746377,Fixed,102
0.1709885718271456,Fixed,140
0.17247804641704728,Fixed,56
0.41283803341832037,Fixed,33
0.16245742547570868,Fixed,137
0.21745875175945048,Fixed,76
0.3137884570765561,Fixed,192
0.34050120239823367,Fixed,57
0.24967947512773903,Fixed,147
0.22039383828622824,Fixed,142
0.19243092172658144,Fixed,17
0.3346959120136402,Fixed,49
0.4476309799599163,Fixed,144
0.15270243862872754,Fixed,19
0.12003684086023496,Fixed,82
0.13147207788501186,Fixed,28
0.4021956549598762,Fixed,113
0.13892445155009778,Fixed,113
0.4032991911342784,Fixed,49
0.2963649878011631,Fixed,157
0.2757766691803277,Fixed,39
0.2523334558198025,Fixed,107
0.135699724652012,Fixed,81
0.3256423595948943,Fixed,92
0.2542708211388558,Fixed,163
0.4320181389565351,Fixed,161
0.253847862540776,Fixed,51
0.11577746172230347,Fixed,58
0.2452551293286166,Fixed,107
0.3761326568685788,Fixed,98
0.34649691570590435,Fixed,41
1.0167632158200008,Fixed,143
0.21002829078353952,Fixed,85
0.28594817807272815,Fixed,170
0.16306116262575687,Fixed,110
0.3328990321821161,Fixed,69
0.3033890606884503,Fixed,98
0.3106589421885364,Fixed,38
0.50894664810317,Fixed,143
0.17407759312462048,Fixed,134
0.58176228278241,Fixed,95
0.814266823817377,Fixed,148
0.09591121644561702,Fixed,4
0.18211506324558474,Fixed,18
0.24996476446139693,Fixed,92
0.11952765963568102,Fixed,33
0.18832063171299337,Fixed,131
0.2942848766873176,Fixed,128
0.2671978645256347,Fixed,97
0.2514192804347742,Fixed,42
0.1317285680670774,Fixed,38
0.6193646247992309,Fixed,141
0.7123053308318423,Fixed,153
0.2519738874704675,Fixed,161
0.2731405436481252,Fixed,47
0.18947027372837671,Fixed,62
0.5043532223336111,Fixed,115
0.37978073178274313,Fixed,64
0.3368237882884776,Fixed,124
0.21601396308549725,Fixed,34
0.3952347838195506,Fixed,33
0.18288486622277483,Fixed,28
0.28875738323708905,Fixed,8
0.566477123288903,Fixed,82
0.5150591706435058,Fixed,82
0.4082963945967526,Fixed,87
0.3954841668906347,Fixed,81
0.26035497832485155,Fixed,42
0.6353236979528047,Fixed,64
0.5542872447687599,Fixed,160
0.34647968929384887,Fixed,109
0.6493904810271129,Fixed,104
0.16346051879478868,Fixed,40
0.46805362114127586,Fixed,103
0.24546559197830145,Fixed,30
0.7366412795826157,Fixed,86
0.4284249809774547,Fixed,110
0.36627148837134993,Fixed,29
0.4670435870603347,Fixed,138
0.3162603451962281,Fixed,15
0.6392078508566215,Fixed,120
0.3862805842409364,Fixed,78
0.46939460996675814,Fixed,161
0.12198777036359985,Fixed,15
0.14632050354222143,Fixed,4
0.07924998844761427,Fixed,11
0.6193137030224294,Fixed,120
0.244919789231878,Fixed,38
0.18013537398047544,Fixed,92
0.36382350524484136,Fixed,101
0.30866594217444904,Fixed,69
0.13732752389761482,Fixed,46
0.3188299701325371,Fixed,119
